accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.064 0.058 -0.049629435 1.4813964 7.8680153
0.064 0.060 -0.049629435 1.4813964 7.8680153
0.066 0.062 -0.023294345 1.8788168 9.247016
0.076 0.065 -0.011323847 1.8740287 9.294898
0.076 0.067 0.031769928 1.8524818 9.304475
0.076 0.070 0.0748637 1.8692404 9.318839
0.077 0.072 0.0988047 1.8620582 9.34278
0.078 0.075 0.14189847 1.8548758 9.390662
0.082 0.077 0.15626307 1.883605 9.381086
0.084 0.080 0.18499225 1.8716346 9.4122095
0.087 0.082 0.18499225 1.7279887 9.270957
0.088 0.085 0.20653912 1.7112299 9.203923
0.090 0.087 0.19456863 1.8596641 9.251805
0.094 0.090 0.16823356 1.8979697 9.314052
0.096 0.092 0.15386897 1.8045998 9.352357
0.097 0.094 0.14668667 1.8476936 9.469668
0.100 0.097 0.13950437 1.9434576 9.598949
0.108 0.099 0.15626307 2.0057042 9.730624
0.108 0.102 0.18259814 1.9913394 9.800054
0.108 0.104 0.19935684 1.9985218 9.859906
0.109 0.107 0.22569193 2.0152805 9.943699
0.112 0.109 0.27596802 1.9626102 9.998763
0.116 0.112 0.27596802 1.9195166 10.037069
0.121 0.114 0.3142736 1.8979697 10.089739
0.147 0.116 0.29512078 1.905152 10.140016
0.147 0.119 0.29512078 1.9195166 10.190291
0.147 0.121 0.299909 1.8931814 10.19508
0.147 0.124 0.29033262 1.8740287 10.228598
0.147 0.126 0.2639975 1.883605 10.240567
0.147 0.128 0.26160342 1.8812109 10.266902
0.147 0.131 0.24484472 1.8859992 10.281267
0.147 0.133 0.24005651 1.9171225 10.319573
0.147 0.136 0.22329783 1.9147283 10.321967
0.147 0.138 0.24723881 1.8907872 10.3674555
0.147 0.140 0.2639975 1.9530339 10.3913965
0.147 0.143 0.2568152 1.9721866 10.429701
0.149 0.145 0.26160342 1.9865513 10.429701
0.151 0.148 0.28315032 2.00331 10.460824
0.159 0.150 0.2975149 2.0440094 10.470401
0.159 0.152 0.3286382 2.0248568 10.427307
0.159 0.155 0.34539688 2.0583744 10.400972
0.160 0.157 0.35018507 2.05598 10.345908
0.163 0.160 0.37412608 2.053586 10.242962
0.167 0.162 0.36215556 2.0487978 10.183109
0.167 0.164 0.36694375 2.0679505 10.096921
0.172 0.167 0.38130835 2.0847094 10.003552
0.172 0.169 0.40046114 2.0847094 9.883847
0.176 0.172 0.39567295 2.079921 9.795265
0.180 0.174 0.41721982 2.0679505 9.689925
0.180 0.176 0.42200804 2.0631626 9.560643
0.183 0.179 0.4291903 2.051192 9.443334
0.185 0.181 0.41721982 2.0440094 9.347569
0.187 0.184 0.39567295 2.072739 9.263775
0.192 0.186 0.37173194 2.0871036 9.220681
0.193 0.188 0.35497326 2.0942857 9.175193
0.195 0.191 0.3406087 2.1134386 9.156041
0.196 0.193 0.3262441 2.1182268 9.1368885
0.199 0.196 0.3190618 2.1565323 9.127312
0.206 0.198 0.32384998 2.1637146 9.122523
0.206 0.200 0.33103228 2.1852615 9.1368885
0.207 0.203 0.3142736 2.2020202 9.117735
0.208 0.205 0.3190618 2.2068083 9.1368885
0.211 0.208 0.2975149 2.247508 9.1368885
0.216 0.210 0.3046972 2.2570846 9.144071
0.217 0.212 0.3046972 2.2762372 9.165617
0.219 0.215 0.3190618 2.2906017 9.206317
0.222 0.217 0.3262441 2.3169367 9.244622
0.222 0.219 0.34300277 2.3480604 9.261381
0.228 0.222 0.36454967 2.3767893 9.3068695
0.228 0.224 0.37652016 2.4318535 9.333204
0.231 0.227 0.39806703 2.4773417 9.388268
0.232 0.229 0.41003755 2.5252235 9.405027
0.235 0.231 0.445949 2.5970466 9.397845
0.240 0.234 0.4842546 2.6353521 9.409815
0.240 0.236 0.5297425 2.7023869 9.438544
0.243 0.239 0.5824126 2.757451 9.440938
0.244 0.241 0.6231123 2.8101213 9.440938
0.247 0.243 0.6781765 2.853215 9.431362
0.251 0.246 0.7428173 2.9298263 9.436151
0.252 0.248 0.80506384 3.020802 9.416997
0.254 0.251 0.83379304 3.0638957 9.414603
0.256 0.253 0.91758645 3.1452951 9.381086
0.258 0.255 0.93195105 3.190783 9.38348
0.263 0.258 0.9678626 3.2314825 9.337993
0.266 0.260 1.0325032 3.2817588 9.287716
0.267 0.263 1.0660206 3.3080938 9.254199
0.268 0.265 1.075597 3.3224583 9.244622
0.272 0.267 1.1067203 3.3344288 9.206317
0.274 0.270 1.1091144 3.3176703 9.194346
0.277 0.272 1.1354495 3.3080938 9.165617
0.279 0.274 1.1402377 3.312882 9.16083
0.280 0.277 1.1665728 3.2937293 9.139282
0.283 0.279 1.1569964 3.2530296 9.127312
0.290 0.282 1.1857256 3.2290885 9.127312
0.290 0.284 1.1569964 3.1716301 9.105765
0.291 0.286 1.14742 3.147689 9.0914
0.292 0.289 1.1282672 3.0830486 9.110554
0.295 0.291 1.099538 3.020802 9.077035
0.298 0.294 1.077991 2.9370086 9.086613
0.301 0.296 1.0612323 2.853215 9.0722475
0.301 0.298 1.0205327 2.7909687 9.048306
0.305 0.301 0.9846213 2.73351 9.043518
0.306 0.303 0.9415275 2.683234 9.0315485
0.309 0.306 0.9104042 2.5946524 9.038731
0.314 0.308 0.87688684 2.515647 9.036336
0.314 0.310 0.8385812 2.4869177 9.0315485
0.316 0.313 0.8266107 2.419883 9.026759
0.319 0.315 0.81703436 2.3767893 9.012395
0.322 0.318 0.77394056 2.3384838 9.036336
0.323 0.320 0.7428173 2.3336957 9.084218
0.327 0.322 0.70211756 2.3145428 9.093794
0.328 0.325 0.67578256 2.2906017 9.115341
0.331 0.327 0.639871 2.2953901 9.127312
0.334 0.330 0.6279005 2.273843 9.139282
0.337 0.332 0.5872009 2.2331436 9.117735
0.340 0.334 0.56086576 2.1852615 9.105765
0.340 0.337 0.5273484 2.1445618 9.084218
0.342 0.339 0.51777196 2.101468 9.065065
0.346 0.341 0.4818605 2.077527 9.077035
0.349 0.344 0.4627077 2.05598 9.074641
0.350 0.346 0.4555254 2.046404 9.124917
0.351 0.349 0.4507372 2.0583744 9.1368885
0.355 0.351 0.42679623 2.053586 9.170405
0.357 0.353 0.41003755 2.027251 9.194346
0.361 0.356 0.39567295 2.0440094 9.235046
0.363 0.358 0.39567295 2.0176744 9.244622
0.364 0.361 0.37891427 2.0224628 9.285322
0.367 0.363 0.36454967 2.0368273 9.3068695
0.372 0.365 0.3406087 2.0224628 9.366721
0.372 0.368 0.3214559 2.0320392 9.397845
0.374 0.370 0.3262441 2.05598 9.460092
0.376 0.373 0.31666768 2.0703447 9.519944
0.379 0.375 0.299909 2.072739 9.5414915
0.381 0.377 0.28315032 2.077527 9.620497
0.385 0.380 0.28315032 2.0966797 9.689925
0.385 0.382 0.3070913 2.077527 9.72823
0.389 0.385 0.30230308 2.1062562 9.795265
0.390 0.387 0.3118795 2.0966797 9.843147
0.393 0.389 0.3286382 2.103862 9.891029
0.397 0.392 0.3190618 2.1182268 9.919758
0.398 0.394 0.3118795 2.1493502 9.972428
0.400 0.396 0.3118795 2.1589262 9.977218
0.402 0.399 0.32384998 2.1876554 9.989187
0.416 0.401 0.3262441 2.216385 9.998763
0.417 0.404 0.3214559 2.2403257 10.003552
0.417 0.406 0.33582047 2.24272 10.005946
0.417 0.408 0.3262441 2.2858136 9.953277
0.417 0.411 0.3046972 2.3241193 9.9221525
0.417 0.413 0.31666768 2.3456662 9.855119
0.437 0.416 0.29512078 2.3767893 9.756959
0.437 0.418 0.28315032 2.4246714 9.665984
0.437 0.420 0.26160342 2.4342477 9.555856
0.437 0.423 0.25202703 2.4797356 9.4122095
0.437 0.425 0.24484472 2.4797356 9.333204
0.437 0.428 0.22329783 2.4941003 9.208712
0.437 0.430 0.20893323 2.5324059 9.086613
0.437 0.432 0.17062765 2.561135 8.981272
0.439 0.435 0.14189847 2.6042287 8.90466
0.447 0.437 0.12753388 2.6185932 8.823261
0.447 0.440 0.077257805 2.6712635 8.765803
0.447 0.442 0.041346323 2.6688693 8.689191
