gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.147 0.130 -0.22266781 -0.097745985 -0.044173155
0.147 0.132 -0.20678534 -0.09652426 -0.050281804
0.147 0.134 -0.18723767 -0.097745985 -0.056390446
0.147 0.137 -0.16524653 -0.097745985 -0.06005564
0.147 0.139 -0.14081195 -0.09652426 -0.06127737
0.147 0.142 -0.120042555 -0.09285907 -0.06127737
0.147 0.144 -0.094386235 -0.08797215 -0.06127737
0.149 0.146 -0.06628646 -0.08064178 -0.06372082
0.151 0.149 -0.03696495 -0.06842448 -0.06372082
0.159 0.151 -0.0100869015 -0.052542005 -0.06372082
0.159 0.154 0.016791144 -0.032994334 -0.066164285
0.159 0.156 0.04611265 -0.01344666 -0.066164285
0.160 0.158 0.06932551 0.0061010113 -0.066164285
0.163 0.161 0.093760096 0.024426956 -0.06982948
0.167 0.163 0.1181947 0.041531164 -0.07105121
0.168 0.166 0.14018582 0.056191918 -0.07105121
0.172 0.168 0.15729004 0.06840922 -0.07471639
0.172 0.170 0.17683771 0.078183055 -0.07349466
0.175 0.173 0.19394192 0.084291704 -0.07227293
0.180 0.175 0.21104613 0.084291704 -0.06982948
0.180 0.178 0.22326343 0.078183055 -0.06860775
0.183 0.180 0.23792417 0.06596576 -0.06494255
0.185 0.182 0.24647628 0.047639813 -0.062499095
0.191 0.185 0.2513632 0.025648683 -0.06127737
0.191 0.187 0.2635805 -0.0048945537 -0.06127737
0.193 0.190 0.26724568 -0.031772602 -0.062499095
0.195 0.192 0.27824125 -0.06475929 -0.06494255
0.196 0.194 0.28312817 -0.09530253 -0.067386016
0.199 0.197 0.2880151 -0.12095884 -0.07227293
0.206 0.199 0.292902 -0.14661518 -0.07838158
0.206 0.202 0.29778892 -0.16982803 -0.08204676
0.207 0.204 0.30634102 -0.19181916 -0.08693369
0.208 0.206 0.3173366 -0.21258856 -0.08693369
0.211 0.209 0.3258887 -0.2309145 -0.08693369
0.217 0.211 0.33321908 -0.24801871 -0.085711956
0.217 0.213 0.34787983 -0.26634467 -0.084490225
0.219 0.216 0.35643193 -0.27856195 -0.079603314
0.222 0.218 0.36498404 -0.29077923 -0.07471639
0.222 0.221 0.36987096 -0.29566616 -0.066164285
0.228 0.223 0.39064035 -0.29933137 -0.05883391
0.228 0.225 0.39430556 -0.2968879 -0.04661661
0.231 0.228 0.4004142 -0.29200098 -0.03439932
0.232 0.230 0.4089663 -0.2810054 -0.020960297
0.235 0.233 0.4162967 -0.27000985 -0.005077813
0.240 0.235 0.41874012 -0.2516839 0.008361211
0.240 0.237 0.41996187 -0.23335797 0.024243694
0.243 0.240 0.42362705 -0.21625376 0.03768272
0.244 0.242 0.4211836 -0.19426262 0.04990001
0.247 0.245 0.42362705 -0.17349322 0.062117305
0.252 0.247 0.41996187 -0.14905863 0.071891144
0.252 0.249 0.41018802 -0.124624036 0.077999786
0.254 0.252 0.40407938 -0.1026329 0.08044325
0.256 0.254 0.38575345 -0.07697659 0.08044325
0.258 0.257 0.37231442 -0.05376373 0.076778054
0.263 0.259 0.35765368 -0.03421606 0.06822595
0.266 0.261 0.34421465 -0.014668389 0.057230387
0.267 0.264 0.3222235 0.0036575524 0.043791365
0.268 0.266 0.3014541 0.019540038 0.025465423
0.272 0.269 0.28312817 0.03297906 0.0022525638
0.275 0.271 0.26235875 0.047639813 -0.023403753
0.277 0.273 0.24036764 0.059857104 -0.051503535
0.279 0.276 0.22081997 0.072074406 -0.080825046
0.280 0.278 0.20371576 0.08062651 -0.11136827
0.283 0.280 0.17561598 0.09528726 -0.14435495
0.290 0.283 0.15240312 0.10628283 -0.17734165
0.290 0.285 0.12796853 0.11605666 -0.20910662
0.291 0.288 0.1059774 0.123387046 -0.2408716
0.292 0.290 0.081542805 0.13071741 -0.2726366
0.296 0.292 0.055886485 0.13804778 -0.30195808
0.298 0.295 0.04122573 0.14171298 -0.32883614
0.301 0.297 0.014347689 0.14904335 -0.3532707
0.301 0.300 -0.0076434426 0.15393028 -0.37404013
0.305 0.302 -0.030856302 0.15881719 -0.3935878
0.306 0.304 -0.056512624 0.16370411 -0.410692
0.309 0.307 -0.07361683 0.16736929 -0.4229093
0.314 0.309 -0.1053818 0.17469966 -0.4351266
0.314 0.312 -0.1261512 0.17836486 -0.4436787
0.316 0.314 -0.14081195 0.17836486 -0.44856563
0.319 0.316 -0.16646826 0.18080832 -0.45100906
0.323 0.319 -0.1847942 0.18203005 -0.44978735
0.323 0.321 -0.21167226 0.18569523 -0.44856563
0.326 0.324 -0.23610684 0.18936042 -0.44612217
0.328 0.326 -0.24710241 0.19180389 -0.44245696
0.331 0.328 -0.2678718 0.19913426 -0.4351266
0.334 0.331 -0.28986293 0.2052429 -0.42901796
0.340 0.333 -0.30696714 0.21135156 -0.42168757
0.340 0.335 -0.32407138 0.2174602 -0.41191372
0.340 0.338 -0.33995384 0.2174602 -0.40336162
0.342 0.340 -0.35705805 0.21623847 -0.39114434
0.346 0.343 -0.3741623 0.21135156 -0.38259223
0.349 0.345 -0.38149264 0.20279945 -0.37281838
0.350 0.347 -0.39493167 0.19424734 -0.36304456
0.351 0.350 -0.40714896 0.18569523 -0.35693592
0.355 0.352 -0.4169228 0.1759214 -0.3483838
0.357 0.355 -0.43280527 0.16981275 -0.3434969
0.361 0.357 -0.43280527 0.15637372 -0.3361665
0.363 0.359 -0.4376922 0.14537817 -0.3312796
0.364 0.362 -0.44380084 0.13193914 -0.3276144
0.367 0.364 -0.44746605 0.11605666 -0.32394922
0.372 0.367 -0.4462443 0.096508995 -0.32150576
0.373 0.369 -0.44868776 0.078183055 -0.3190623
0.374 0.371 -0.44380084 0.05863538 -0.32028404
0.376 0.374 -0.43891394 0.041531164 -0.32028404
0.379 0.376 -0.43280527 0.028092142 -0.32150576
0.381 0.379 -0.42425317 0.013431388 -0.32150576
0.385 0.381 -0.4169228 0.002435823 -0.32272747
0.385 0.383 -0.40592724 -0.0073380126 -0.32394922
0.390 0.386 -0.39737514 -0.01222493 -0.32517093
0.390 0.388 -0.3876013 -0.01222493 -0.32517093
0.393 0.391 -0.37171882 -0.011003201 -0.32394922
0.397 0.393 -0.3595015 -0.006116283 -0.32394922
0.398 0.395 -0.34606248 0.002435823 -0.32272747
0.400 0.398 -0.3338452 0.014653117 -0.32028404
0.402 0.400 -0.316741 0.028092142 -0.31784058
0.417 0.402 -0.30330196 0.04519635 -0.31417537
0.417 0.405 -0.29474986 0.06718749 -0.30806673
0.417 0.407 -0.27764565 0.089178614 -0.30195808
0.417 0.410 -0.26909354 0.11727839 -0.29340598
0.417 0.412 -0.2593197 0.14171298 -0.28729734
0.417 0.414 -0.24588068 0.16981275 -0.27630177
0.437 0.417 -0.2385503 0.20035599 -0.26652792
0.437 0.419 -0.2299982 0.22845577 -0.25431064
0.437 0.422 -0.22511128 0.2541121 -0.24575852
0.437 0.424 -0.21655917 0.27365977 -0.23476295
0.437 0.426 -0.21533744 0.2919857 -0.22743256
0.437 0.429 -0.212894 0.30298126 -0.2213239
0.437 0.431 -0.21045053 0.3090899 -0.216437
0.437 0.434 -0.21045053 0.3090899 -0.2127718
0.439 0.436 -0.2092288 0.304203 -0.2127718
