accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.049 0.035 0.39806703 1.6130719 9.304475
0.050 0.037 0.39806703 1.6130719 9.304475
0.050 0.040 0.40285522 1.3640856 7.9063206
0.050 0.042 0.53453064 1.737565 9.282928
0.066 0.045 0.53213656 1.7519295 9.326022
0.066 0.047 0.53213656 1.7303827 9.357145
0.066 0.049 0.5153779 1.7232004 9.381086
0.066 0.052 0.5129838 1.7567178 9.42418
0.066 0.054 0.50580144 1.7279887 9.433756
0.066 0.057 0.4986192 1.7184122 9.462485
0.066 0.059 0.4842546 1.7088358 9.4768505
0.066 0.062 0.47707227 1.7064416 9.512761
0.068 0.064 0.4603136 1.7112299 9.531915
0.070 0.067 0.4627077 1.6848948 9.546279
0.080 0.069 0.4507372 1.6609538 9.563037
0.080 0.071 0.44116083 1.6681361 9.565433
0.080 0.074 0.4291903 1.6681361 9.589374
0.080 0.076 0.41961393 1.6489834 9.589374
0.084 0.079 0.39327884 1.6585598 9.589374
0.086 0.081 0.40764344 1.6705303 9.586978
0.087 0.084 0.41961393 1.6681361 9.577402
0.089 0.086 0.41003755 1.6681361 9.567826
0.092 0.089 0.39806703 1.641801 9.598949
0.094 0.091 0.38130835 1.6537715 9.5821905
0.098 0.093 0.38130835 1.6394069 9.586978
0.100 0.096 0.37412608 1.6825008 9.594161
0.101 0.098 0.34300277 1.6681361 9.563037
0.103 0.101 0.3334264 1.6537715 9.577402
0.106 0.103 0.3262441 1.6872889 9.565433
0.113 0.106 0.3190618 1.6729243 9.560643
0.113 0.108 0.32384998 1.6777126 9.543885
0.113 0.110 0.32384998 1.7016536 9.539096
0.116 0.113 0.30230308 1.7208064 9.531915
0.118 0.115 0.2975149 1.7519295 9.512761
0.124 0.118 0.3046972 1.7519295 9.512761
0.124 0.120 0.2975149 1.7926294 9.491215
0.127 0.123 0.3286382 1.7830529 9.484033
0.128 0.125 0.31666768 1.7854469 9.481638
0.131 0.128 0.31666768 1.7950234 9.484033
0.135 0.130 0.3118795 1.8165703 9.438544
0.137 0.132 0.2927267 1.811782 9.38348
0.139 0.135 0.2855444 1.8309349 9.369115
0.141 0.137 0.2975149 1.8189645 9.349963
0.143 0.140 0.2711798 1.8045998 9.340386
0.147 0.142 0.27596802 1.8405113 9.285322
0.149 0.144 0.2663916 1.8141762 9.2422285
0.150 0.147 0.24245061 1.7830529 9.177588
0.153 0.149 0.25202703 1.8022057 9.100976
0.155 0.152 0.21850963 1.8309349 9.0722475
0.165 0.154 0.17780995 1.835723 9.05549
0.165 0.156 0.17780995 1.8548758 9.057883
0.165 0.159 0.16344535 1.8548758 9.067459
0.165 0.161 0.12753388 1.8261467 9.060277
0.167 0.164 0.115563385 1.8381171 9.033942
0.171 0.166 0.082046 1.7902352 8.983666
0.172 0.168 0.043740425 1.7160182 8.938178
0.174 0.171 0.031769928 1.737565 8.923813
0.177 0.173 0.0030407459 1.7662941 8.899872
0.178 0.176 -0.008929744 1.7303827 8.863961
0.183 0.178 -0.011323847 1.7160182 8.847202
0.184 0.180 -0.013717949 1.6848948 8.818473
0.186 0.183 -0.011323847 1.7040477 8.835231
0.189 0.185 -0.016112044 1.7543237 8.842414
0.191 0.187 -0.018506147 1.7615061 8.82805
0.195 0.190 0.015011236 1.7878411 8.856778
0.196 0.192 0.034164026 1.7974174 8.844809
0.198 0.195 0.060499113 1.8452995 8.832837
0.200 0.197 0.0844401 1.9003637 8.84002
0.202 0.199 0.11077519 1.9123342 8.811291
0.208 0.202 0.13711026 1.9290929 8.772985
0.208 0.204 0.16105126 1.9602163 8.761014
0.211 0.207 0.18020405 1.9602163 8.756227
0.212 0.209 0.19217454 1.9530339 8.729891
0.215 0.211 0.20653912 1.9889455 8.744256
0.220 0.214 0.22329783 2.000916 8.734679
0.220 0.216 0.21372144 1.9985218 8.734679
0.222 0.219 0.25202703 2.0368273 8.789744
0.224 0.221 0.25920933 2.0487978 8.806502
0.227 0.223 0.2855444 2.051192 8.854384
0.232 0.226 0.2927267 2.075133 8.90945
0.232 0.228 0.30948538 2.077527 8.97409
0.234 0.231 0.3190618 2.075133 9.01479
0.236 0.233 0.3070913 2.053586 9.093794
0.239 0.235 0.3334264 2.0416155 9.122523
0.244 0.238 0.33103228 2.051192 9.182376
0.244 0.240 0.33582047 2.0080981 9.203923
0.246 0.242 0.33103228 1.9913394 9.258987
0.249 0.245 0.35736734 1.9793689 9.254199
0.251 0.247 0.36933786 1.9434576 9.258987
0.254 0.250 0.36215556 1.9147283 9.292504
0.262 0.252 0.35018507 1.907546 9.304475
0.262 0.254 0.38130835 1.883605 9.321234
0.262 0.257 0.38849062 1.9003637 9.326022
0.262 0.259 0.39567295 1.8883932 9.299687
0.266 0.262 0.41243163 1.8955755 9.328416
0.269 0.264 0.42200804 1.9027578 9.326022
0.271 0.266 0.42200804 1.9123342 9.354752
0.272 0.269 0.4483431 1.9219106 9.366721
0.274 0.271 0.4435549 1.9171225 9.369115
0.278 0.274 0.4507372 1.9243047 9.337993
0.280 0.276 0.49143687 1.9434576 9.321234
0.283 0.278 0.4962251 1.9362751 9.270957
0.284 0.281 0.5010133 1.9530339 9.247016
0.287 0.283 0.50580144 1.9530339 9.208712
0.290 0.286 0.50580144 1.9578221 9.175193
0.293 0.288 0.50580144 1.9817631 9.134494
0.295 0.290 0.4746782 1.9937336 9.146464
0.296 0.293 0.4842546 2.0104923 9.148858
0.299 0.295 0.4603136 2.00331 9.187164
0.302 0.298 0.41721982 2.0057042 9.206317
0.305 0.300 0.41243163 2.0128865 9.232653
0.307 0.302 0.39088476 2.0224628 9.247016
0.309 0.305 0.38609654 2.0057042 9.333204
0.310 0.307 0.33821458 1.9985218 9.369115
0.313 0.309 0.33582047 1.9817631 9.419393
0.318 0.312 0.3070913 1.9721866 9.467275
0.318 0.314 0.2975149 1.933881 9.524733
0.320 0.317 0.26878572 1.9314871 9.555856
0.322 0.319 0.24723881 1.8955755 9.579796
0.327 0.321 0.2735739 1.8764228 9.615708
0.328 0.324 0.25202703 1.8381171 9.642043
0.330 0.326 0.2783621 1.8261467 9.692319
0.331 0.329 0.2735739 1.806994 9.749777
0.334 0.331 0.2807562 1.7878411 9.76893
0.338 0.333 0.2879385 1.7758706 9.835965
0.341 0.336 0.29033262 1.7519295 9.87427
0.344 0.338 0.2927267 1.7591119 9.92694
0.344 0.341 0.299909 1.7471415 9.948487
0.346 0.343 0.299909 1.7303827 9.96764
0.349 0.345 0.3214559 1.7112299 9.9867935
0.353 0.348 0.33582047 1.737565 10.005946
0.354 0.350 0.34539688 1.7184122 10.029887
0.356 0.353 0.35018507 1.7160182 10.005946
0.358 0.355 0.35497326 1.7040477 9.970035
0.361 0.357 0.36454967 1.6920772 9.9628525
0.364 0.360 0.35257915 1.6872889 9.941305
0.366 0.362 0.35497326 1.663348 9.8982115
0.368 0.364 0.35497326 1.6801066 9.888636
0.370 0.367 0.3406087 1.663348 9.871877
0.373 0.369 0.33582047 1.6801066 9.859906
0.376 0.372 0.30948538 1.6825008 9.907788
0.378 0.374 0.299909 1.7064416 9.92694
0.379 0.376 0.28315032 1.7184122 10.003552
0.382 0.379 0.2639975 1.7447473 10.07298
0.385 0.381 0.23526831 1.735171 10.125651
0.389 0.384 0.23526831 1.7639 10.187898
0.390 0.386 0.23287421 1.7471415 10.252539
0.394 0.388 0.23287421 1.7519295 10.31239
0.395 0.391 0.22569193 1.7519295 10.357879
0.397 0.393 0.21850963 1.7232004 10.377031
0.401 0.396 0.22090374 1.7232004 10.38182
0.402 0.398 0.23526831 1.7279887 10.398579
0.404 0.400 0.22090374 1.6920772 10.377031
0.406 0.403 0.21611553 1.6872889 10.321967
0.424 0.405 0.23048013 1.6729243 10.31239
0.424 0.408 0.22329783 1.665742 10.24775
0.424 0.410 0.23048013 1.6801066 10.2214155
0.424 0.412 0.22090374 1.7040477 10.187898
0.424 0.415 0.21372144 1.6825008 10.125651
0.424 0.417 0.24005651 1.7016536 10.063404
0.449 0.419 0.24245061 1.7040477 9.998763
0.449 0.422 0.27596802 1.7088358 9.910182
0.449 0.424 0.30230308 1.7471415 9.843147
0.449 0.427 0.3142736 1.7686883 9.742596
0.449 0.429 0.35736734 1.7710824 9.687531
0.449 0.431 0.36694375 1.7878411 9.601343
0.449 0.434 0.40764344 1.806994 9.5414915
0.449 0.436 0.4435549 1.8405113 9.4768505
0.449 0.439 0.43397853 1.8859992 9.433756
0.449 0.441 0.47707227 1.9147283 9.364327
0.449 0.443 0.46749592 1.9578221 9.326022
0.449 0.446 0.47707227 1.9961276 9.258987
0.451 0.448 0.50580144 2.0487978 9.19674
0.459 0.451 0.50340736 2.0847094 9.148858
0.459 0.453 0.51777196 2.1493502 9.086613
0.464 0.455 0.54650116 2.1828673 9.041124
0.464 0.458 0.53453064 2.2283554 9.012395
0.464 0.460 0.55368346 2.247508 8.995636
0.465 0.463 0.54650116 2.273843 8.983666
0.468 0.465 0.54889524 2.2882078 8.998031
0.473 0.467 0.5249543 2.297784 9.01479
0.473 0.470 0.5369247 2.3121488 9.026759
0.476 0.472 0.5129838 2.3217251 9.093794
0.477 0.475 0.50580144 2.3265133 9.151253
0.480 0.477 0.4579195 2.3193312 9.213499
0.484 0.479 0.43876672 2.2953901 9.302081
0.484 0.482 0.43158442 2.2618725 9.390662
0.487 0.484 0.43158442 2.2546904 9.464879
0.490 0.486 0.42200804 2.216385 9.548674
0.492 0.489 0.43397853 2.2139904 9.603737
0.498 0.491 0.4291903 2.173291 9.651619
0.498 0.494 0.43397853 2.1541383 9.723442
0.499 0.496 0.45313132 2.103862 9.76893
0.502 0.498 0.46749592 2.077527 9.8216
0.504 0.501 0.46989 2.079921 9.80963
0.508 0.503 0.46749592 2.051192 9.797659
0.511 0.506 0.4722841 2.0392215 9.747383
0.511 0.508 0.4651018 2.0152805 9.718655
0.514 0.510 0.4507372 2.0392215 9.62289
0.516 0.513 0.4579195 2.0344334 9.5821905
0.520 0.515 0.44116083 2.05598 9.505579
0.522 0.518 0.42440212 2.053586 9.400239
0.523 0.520 0.42679623 2.079921 9.354752
0.526 0.522 0.41721982 2.075133 9.268563
0.529 0.525 0.41721982 2.1062562 9.19674
0.533 0.527 0.4435549 2.1134386 9.105765
0.533 0.530 0.44116083 2.1373796 9.01479
0.535 0.532 0.4746782 2.1373796 8.907054
0.538 0.534 0.4818605 2.1493502 8.808896
