gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.113 0.112 0.13285545 0.013431388 0.110986486
0.116 0.114 0.14262928 0.0097662 0.110986486
0.118 0.117 0.14995965 0.0097662 0.110986486
0.124 0.119 0.15484658 0.0122096585 0.110986486
0.124 0.121 0.15973349 0.0122096585 0.110986486
0.127 0.124 0.16217695 0.013431388 0.110986486
0.128 0.126 0.16706388 0.015874848 0.110986486
0.132 0.129 0.16706388 0.020761766 0.109764755
0.135 0.131 0.17195079 0.025648683 0.10854302
0.137 0.134 0.17439425 0.028092142 0.10854302
0.139 0.136 0.17195079 0.03420079 0.10609956
0.141 0.138 0.17317252 0.036644246 0.10487783
0.143 0.141 0.17195079 0.043974627 0.10609956
0.147 0.143 0.17561598 0.043974627 0.10487783
0.149 0.146 0.16706388 0.047639813 0.10365611
0.150 0.148 0.16950732 0.046418082 0.10121265
0.153 0.150 0.16095522 0.04519635 0.09999092
0.155 0.153 0.1475162 0.043974627 0.096325725
0.165 0.155 0.13285545 0.040309433 0.09266055
0.165 0.158 0.13041198 0.03297906 0.091438815
0.165 0.160 0.12185988 0.028092142 0.09021708
0.165 0.162 0.10353394 0.02687041 0.09021708
0.166 0.165 0.114529505 0.018318307 0.09266055
0.171 0.167 0.099868745 0.018318307 0.095103994
0.171 0.170 0.087651454 0.014653117 0.09999092
0.174 0.172 0.06932551 0.014653117 0.10732129
0.177 0.174 0.050999567 0.013431388 0.11831686
0.179 0.177 0.027786711 0.015874848 0.12686896
0.183 0.179 0.02045633 0.0122096585 0.13786453
0.184 0.181 0.0033521224 0.0122096585 0.15008183
0.186 0.184 -0.0076434426 0.010987929 0.15985568
0.189 0.186 -0.017417278 0.00854447 0.17085123
0.191 0.189 -0.023525925 0.004879282 0.18062508
0.195 0.191 -0.029634573 0.0036575524 0.18795545
0.196 0.193 -0.028412843 -0.0012293652 0.19772929
0.198 0.196 -0.05895608 0.0073227407 0.20139447
0.200 0.198 -0.04063014 0.0012140936 0.20872486
0.203 0.201 -0.01375209 -0.0073380126 0.21605523
0.208 0.203 -3.1306595E-4 -0.01222493 0.21849869
0.208 0.205 -0.014973819 -0.008559742 0.21972042
0.211 0.208 -0.01253036 -0.01344666 0.21972042
0.212 0.210 -0.01253036 -0.019555306 0.21972042
0.214 0.213 -0.008865172 -0.03055087 0.21849869
0.220 0.215 -0.014973819 -0.043989897 0.2148335
0.220 0.217 -0.016195549 -0.05498546 0.21239004
0.222 0.220 -0.019860737 -0.06842448 0.20750313
0.225 0.222 -0.023525925 -0.0818635 0.20383793
0.227 0.225 -0.030856302 -0.09285907 0.20017275
0.232 0.227 -0.039408408 -0.1026329 0.19528583
0.232 0.229 -0.047960516 -0.10996328 0.18917719
0.234 0.232 -0.052847434 -0.11362847 0.18429026
0.236 0.234 -0.06628646 -0.11118501 0.17695989
0.239 0.237 -0.07361683 -0.10751982 0.17085123
0.244 0.239 -0.082168944 -0.10018945 0.16596432
0.244 0.241 -0.09316451 -0.091637336 0.15985568
0.246 0.244 -0.10416007 -0.08064178 0.15496875
0.249 0.246 -0.11271218 -0.07086794 0.15130356
0.251 0.248 -0.12248602 -0.058650646 0.1488601
0.254 0.251 -0.13103811 -0.047655087 0.14641663
0.258 0.253 -0.13836849 -0.03543779 0.14641663
0.262 0.256 -0.15180752 -0.021998765 0.14763837
0.262 0.258 -0.15302925 -0.011003201 0.1488601
0.262 0.260 -0.1640248 -7.635797E-6 0.15252529
0.267 0.263 -0.17257692 0.0122096585 0.15496875
0.269 0.265 -0.18235075 0.025648683 0.15863395
0.271 0.268 -0.18968113 0.037865978 0.16229913
0.272 0.270 -0.1970115 0.053748462 0.16596432
0.274 0.272 -0.2006767 0.06963094 0.16840778
0.278 0.275 -0.21045053 0.08673516 0.16962951
0.280 0.277 -0.21900263 0.1050611 0.1732947
0.282 0.280 -0.2299982 0.12094358 0.17451642
0.284 0.282 -0.23732857 0.13316087 0.17207296
0.287 0.284 -0.24832414 0.14293471 0.17085123
0.290 0.287 -0.26054144 0.14659989 0.16840778
0.293 0.289 -0.27031526 0.14293471 0.16229913
0.295 0.292 -0.27398047 0.13316087 0.15619048
0.296 0.294 -0.28619775 0.122165315 0.14641663
0.299 0.296 -0.29352814 0.10994802 0.13542107
0.302 0.299 -0.30330196 0.09895245 0.123203784
0.305 0.301 -0.3045237 0.084291704 0.110986486
0.307 0.303 -0.3094106 0.07451787 0.096325725
0.310 0.306 -0.3081889 0.0635223 0.08166498
0.310 0.308 -0.3130758 0.056191918 0.06700422
0.313 0.311 -0.30696714 0.047639813 0.05234347
0.318 0.313 -0.3008585 0.03908771 0.03768272
0.318 0.315 -0.29108468 0.03297906 0.023021964
0.320 0.318 -0.2837543 0.030535601 0.008361211
0.323 0.320 -0.27520218 0.02687041 -0.002634354
0.328 0.323 -0.26420662 0.025648683 -0.014851648
0.329 0.325 -0.25687623 0.025648683 -0.024625484
0.330 0.327 -0.24832414 0.02687041 -0.033177588
0.332 0.330 -0.24099377 0.028092142 -0.039286237
0.334 0.332 -0.22755474 0.028092142 -0.042951424
0.338 0.335 -0.2177809 0.030535601 -0.04783834
0.341 0.337 -0.21167226 0.036644246 -0.04783834
0.344 0.339 -0.2055636 0.046418082 -0.050281804
0.344 0.342 -0.19456804 0.05252673 -0.050281804
0.346 0.344 -0.19090286 0.06840922 -0.051503535
0.350 0.347 -0.17990729 0.08062651 -0.049060073
0.353 0.349 -0.1762421 0.096508995 -0.04661661
0.354 0.351 -0.16524653 0.108726285 -0.045394886
0.356 0.354 -0.1640248 0.12460878 -0.041729692
0.358 0.356 -0.16035962 0.14049125 -0.039286237
0.361 0.358 -0.15669443 0.15026508 -0.038064506
0.364 0.361 -0.15425098 0.16248238 -0.03562105
0.365 0.363 -0.15302925 0.16859102 -0.033177588
0.368 0.366 -0.15058579 0.16736929 -0.03195586
0.370 0.368 -0.14936405 0.16248238 -0.03195586
0.373 0.370 -0.14569886 0.15270855 -0.033177588
0.376 0.373 -0.14203368 0.13682605 -0.03562105
0.378 0.375 -0.13714676 0.12094358 -0.039286237
0.379 0.378 -0.12737292 0.103839375 -0.042951424
0.382 0.380 -0.11637737 0.08795689 -0.04783834
0.385 0.382 -0.10660353 0.07329614 -0.05394699
0.389 0.385 -0.094386235 0.062300567 -0.06005564
0.390 0.387 -0.082168944 0.054970194 -0.06372082
0.395 0.390 -0.063843 0.051305 -0.06982948
0.395 0.392 -0.05040397 0.048861545 -0.07471639
0.397 0.394 -0.027191114 0.048861545 -0.07593812
0.401 0.397 -0.0027565248 0.05008327 -0.07838158
0.402 0.399 0.013125958 0.05741365 -0.07838158
0.404 0.402 0.03389536 0.0635223 -0.080825046
0.406 0.404 0.058329947 0.06840922 -0.07715985
0.424 0.406 0.07787762 0.07451787 -0.07471639
0.424 0.409 0.093760096 0.07940478 -0.06982948
0.424 0.411 0.119416416 0.08184824 -0.06494255
0.424 0.414 0.13652064 0.090400346 -0.05883391
0.424 0.416 0.1475162 0.09528726 -0.050281804
0.424 0.418 0.15973349 0.10017418 -0.04050797
0.449 0.421 0.16828561 0.1050611 -0.03195586
0.449 0.423 0.18172462 0.108726285 -0.020960297
