accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.040 0.031 -0.063994035 1.0528527 9.843147
0.040 0.033 -0.063994035 1.0528527 9.843147
0.040 0.036 -0.05202353 0.82301927 8.198401
0.049 0.038 -0.02568844 1.0791878 9.572615
0.049 0.041 -0.04484123 1.0767938 9.589374
0.049 0.043 -0.02090025 1.081582 9.558249
0.049 0.046 -0.013717949 1.083976 9.524733
0.064 0.048 -0.030476637 1.0767938 9.512761
0.064 0.050 -0.049629435 1.0720055 9.493609
0.064 0.053 -0.013717949 1.081582 9.519944
0.064 0.055 -0.016112044 1.055247 9.527126
0.064 0.058 -0.0041415542 1.0983406 9.534308
0.064 0.060 -0.0017474517 1.1007348 9.589374
0.066 0.063 -0.018506147 1.1031288 9.603737
0.069 0.065 0.015011236 1.1055229 9.596556
0.071 0.068 0.007828936 1.1342522 9.627678
0.079 0.070 0.034164026 1.1222817 9.637256
0.079 0.072 0.026981734 1.1390404 9.67556
0.079 0.075 0.03655813 1.1462227 9.670773
0.081 0.077 0.022193532 1.182134 9.699501
0.083 0.080 0.017405331 1.1725577 9.735414
0.085 0.082 0.015011236 1.153405 9.776113
0.087 0.084 0.007828936 1.1653755 9.788083
0.090 0.087 -0.02090025 1.1653755 9.785689
0.093 0.089 -0.030476637 1.1414344 9.804841
0.095 0.092 -0.04005304 1.1294639 9.814418
0.096 0.094 -0.049629435 1.1342522 9.835965
0.099 0.096 -0.063994035 1.1246756 9.850329
0.101 0.099 -0.061599925 1.153405 9.843147
0.105 0.101 -0.04723534 1.1510108 9.845541
0.113 0.104 -0.054417625 1.1366462 9.828782
0.113 0.106 -0.06638813 1.1701635 9.812024
0.113 0.108 -0.073570415 1.1462227 9.804841
0.113 0.111 -0.073570415 1.155799 9.773718
0.117 0.113 -0.087935016 1.1462227 9.795265
0.119 0.116 -0.078358606 1.1366462 9.790478
0.121 0.118 -0.06638813 1.153405 9.744989
0.125 0.120 -0.071176305 1.153405 9.735414
0.126 0.123 -0.063994035 1.1486167 9.735414
0.130 0.125 -0.07596451 1.153405 9.7114725
0.133 0.128 -0.073570415 1.153405 9.689925
0.133 0.130 -0.07596451 1.1486167 9.673166
0.136 0.132 -0.071176305 1.1462227 9.670773
0.138 0.135 -0.078358606 1.1581932 9.651619
0.142 0.137 -0.09990549 1.155799 9.644437
0.144 0.139 -0.087935016 1.1773459 9.620497
0.145 0.142 -0.09751141 1.1653755 9.639649
0.147 0.144 -0.06638813 1.2084692 9.62289
0.150 0.147 -0.073570415 1.1845282 9.630073
0.153 0.149 -0.06638813 1.1797401 9.601343
0.165 0.151 -0.06878221 1.182134 9.586978
0.165 0.154 -0.05920583 1.1797401 9.57022
0.165 0.156 -0.03287074 1.2060751 9.548674
0.165 0.159 -0.04005304 1.2156514 9.563037
0.166 0.161 -0.04005304 1.2084692 9.543885
0.167 0.163 -0.013717949 1.1941046 9.555856
0.170 0.166 6.4664334E-4 1.2108634 9.519944
0.172 0.168 -0.008929744 1.2324102 9.531915
0.176 0.171 -0.016112044 1.2324102 9.524733
0.177 0.173 -0.008929744 1.230016 9.515155
0.179 0.175 6.4664334E-4 1.2132574 9.515155
0.183 0.178 0.0030407459 1.203681 9.512761
0.183 0.180 -0.0065356568 1.2108634 9.543885
0.187 0.183 -0.008929744 1.2204397 9.527126
0.190 0.185 -0.023294345 1.203681 9.565433
0.194 0.187 -0.0017474517 1.2108634 9.596556
0.194 0.190 -0.018506147 1.1988928 9.608525
0.196 0.192 -0.018506147 1.1893164 9.62289
0.197 0.194 -0.011323847 1.1988928 9.654014
0.203 0.197 -0.008929744 1.1988928 9.639649
0.204 0.199 0.007828936 1.1845282 9.6468315
0.205 0.202 -0.0017474517 1.1988928 9.649225
0.209 0.204 0.012617134 1.1845282 9.610919
0.209 0.206 0.017405331 1.1988928 9.613315
0.214 0.209 -0.013717949 1.2084692 9.627678
0.216 0.211 0.0102230385 1.182134 9.620497
0.218 0.214 0.019799437 1.1988928 9.606132
0.220 0.216 -0.011323847 1.2084692 9.601343
0.222 0.218 -0.05202353 1.2084692 9.613315
0.226 0.221 -0.07596451 1.203681 9.596556
0.227 0.223 -0.063994035 1.2060751 9.613315
0.229 0.226 -0.06878221 1.2084692 9.591767
0.232 0.228 -0.054417625 1.1988928 9.596556
0.234 0.230 -0.054417625 1.1701635 9.567826
0.238 0.233 -0.04484123 1.2156514 9.567826
0.240 0.235 -0.023294345 1.2180456 9.57022
0.243 0.238 -0.011323847 1.2443807 9.539096
0.243 0.240 -0.018506147 1.2755039 9.527126
0.246 0.242 -0.0041415542 1.2659276 9.515155
0.250 0.245 -0.0017474517 1.2826864 9.522338
0.251 0.247 -0.02090025 1.2659276 9.503185
0.254 0.250 -0.023294345 1.2778981 9.491215
0.256 0.252 -0.02090025 1.2778981 9.505579
0.259 0.254 -0.03287074 1.2898686 9.48882
0.261 0.257 -0.071176305 1.2635335 9.493609
0.264 0.259 -0.04484123 1.2755039 9.479244
0.266 0.261 -0.061599925 1.2228338 9.4768505
0.267 0.264 -0.049629435 1.203681 9.500792
0.270 0.266 -0.054417625 1.182134 9.500792
0.273 0.269 -0.04005304 1.2180456 9.507974
0.276 0.271 -0.04484123 1.1917106 9.5414915
0.278 0.273 -0.035264835 1.1869223 9.5414915
0.279 0.276 -0.035264835 1.1893164 9.584584
0.281 0.278 -0.037658937 1.1677696 9.608525
0.286 0.281 -0.049629435 1.1988928 9.615708
0.287 0.283 -0.035264835 1.1964986 9.63486
0.290 0.285 -0.056811735 1.2108634 9.642043
0.292 0.288 -0.061599925 1.2156514 9.665984
0.293 0.290 -0.06878221 1.230016 9.677955
0.298 0.293 -0.08314681 1.253957 9.699501
0.299 0.295 -0.09032911 1.2443807 9.692319
0.302 0.297 -0.071176305 1.251563 9.701896
0.303 0.300 -0.06638813 1.2563512 9.682742
0.306 0.302 -0.05920583 1.2467748 9.670773
0.310 0.305 -0.056811735 1.253957 9.651619
