gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.113 0.107 0.074063785 4.5767147E-4 0.022350376
0.113 0.110 0.08505935 -0.0044292463 0.019906918
0.113 0.112 0.091168 -0.006872705 0.017463459
0.117 0.114 0.099720106 -0.0105378935 0.01624173
0.119 0.117 0.10460703 -0.011759623 0.01379827
0.121 0.119 0.11438087 -0.016646542 0.0113548115
0.124 0.122 0.11682433 -0.01786827 0.007689623
0.125 0.124 0.11926778 -0.020311728 0.0052461643
0.130 0.126 0.12293297 -0.023976918 0.0028027054
0.133 0.129 0.1241547 -0.028863836 -8.6248294E-4
0.133 0.131 0.12537643 -0.03375075 -0.0033059418
0.135 0.133 0.12171124 -0.038637668 -0.00697113
0.138 0.136 0.12171124 -0.043524586 -0.00819286
0.142 0.138 0.11926778 -0.048411503 -0.011858048
0.144 0.141 0.1156026 -0.05329842 -0.011858048
0.145 0.143 0.1119374 -0.056963608 -0.014301507
0.147 0.145 0.10827221 -0.05818534 -0.016744966
0.150 0.148 0.10460703 -0.0606288 -0.016744966
0.153 0.150 0.10216357 -0.061850525 -0.016744966
0.165 0.153 0.09605492 -0.061850525 -0.017966693
0.165 0.155 0.09361146 -0.05940707 -0.017966693
0.165 0.157 0.087502815 -0.05818534 -0.017966693
0.165 0.160 0.081394166 -0.056963608 -0.017966693
0.165 0.162 0.081394166 -0.056963608 -0.016744966
0.167 0.165 0.07528552 -0.055741884 -0.016744966
0.170 0.167 0.0703986 -0.055741884 -0.016744966
0.172 0.169 0.06917687 -0.055741884 -0.016744966
0.176 0.172 0.067955144 -0.056963608 -0.016744966
0.177 0.174 0.06306822 -0.054520153 -0.016744966
0.179 0.177 0.059403032 -0.055741884 -0.016744966
0.183 0.179 0.059403032 -0.056963608 -0.016744966
0.183 0.181 0.055737846 -0.05818534 -0.016744966
0.187 0.184 0.05818131 -0.05940707 -0.016744966
0.190 0.186 0.059403032 -0.061850525 -0.016744966
0.194 0.189 0.053294383 -0.05818534 -0.017966693
0.194 0.191 0.054516114 -0.05940707 -0.016744966
0.195 0.193 0.054516114 -0.055741884 -0.015523234
0.197 0.196 0.055737846 -0.05207669 -0.014301507
0.203 0.198 0.055737846 -0.048411503 -0.014301507
0.204 0.200 0.05818131 -0.04596805 -0.0130797755
0.205 0.203 0.055737846 -0.04108113 -0.014301507
0.209 0.205 0.054516114 -0.03497248 -0.011858048
0.209 0.208 0.055737846 -0.030085564 -0.010636317
0.214 0.210 0.053294383 -0.025198646 -0.010636317
0.216 0.212 0.048407473 -0.01909 -0.009414589
0.218 0.215 0.048407473 -0.014203082 -0.0057494007
0.220 0.217 0.048407473 -0.009316164 -0.0033059418
0.222 0.220 0.043520555 -0.0044292463 -8.6248294E-4
0.226 0.222 0.043520555 0.0029011304 0.004024435
0.227 0.224 0.04596401 0.0053445892 0.007689623
0.229 0.227 0.04718574 0.009009778 0.0113548115
0.232 0.229 0.04474228 0.011453236 0.01624173
0.234 0.232 0.042298824 0.015118425 0.019906918
0.238 0.234 0.043520555 0.0138966935 0.021128647
0.240 0.236 0.04474228 0.012674966 0.023572106
0.243 0.239 0.04474228 0.011453236 0.026015565
0.243 0.241 0.03985536 0.012674966 0.027237294
0.246 0.244 0.038633637 0.009009778 0.028459024
0.250 0.246 0.034968443 0.010231507 0.028459024
0.251 0.248 0.031303257 0.007788048 0.027237294
0.254 0.251 0.030081525 0.009009778 0.028459024
0.256 0.253 0.026416339 0.007788048 0.029680753
0.258 0.255 0.023972884 0.007788048 0.029680753
0.261 0.258 0.019085966 0.007788048 0.030902483
0.264 0.260 0.014199048 0.007788048 0.032124214
0.266 0.263 0.008090399 0.0065663187 0.03456767
0.267 0.265 0.0068686698 0.00412286 0.03456767
0.270 0.267 7.6002255E-4 0.00412286 0.03456767
0.273 0.270 0.001981752 -7.64058E-4 0.03701113
0.276 0.272 -0.004126895 -0.0019857874 0.03823286
0.278 0.275 -0.010235542 -0.0032075169 0.03823286
0.279 0.277 -0.011457272 -0.0032075169 0.039454587
0.281 0.279 -0.011457272 -0.0032075169 0.039454587
0.286 0.282 -0.012679001 0.0016794009 0.039454587
0.287 0.284 -0.012679001 0.00412286 0.039454587
0.290 0.287 -0.01512246 0.0065663187 0.039454587
0.292 0.289 -0.01634419 0.009009778 0.039454587
0.293 0.291 -0.01512246 0.010231507 0.040676318
0.298 0.294 -0.011457272 0.012674966 0.040676318
0.299 0.296 -0.010235542 0.0138966935 0.04189805
0.302 0.299 -0.0077920835 0.015118425 0.043119777
0.303 0.301 -0.006570354 0.0138966935 0.044341505
0.306 0.303 -0.0053486247 0.0138966935 0.043119777
0.309 0.306 -0.009013813 0.0138966935 0.044341505
0.311 0.308 -0.004126895 0.012674966 0.043119777
0.314 0.311 -0.0029051658 0.012674966 0.04189805
0.315 0.313 -0.0053486247 0.011453236 0.04189805
0.317 0.315 -0.0077920835 0.009009778 0.03823286
0.321 0.318 -0.006570354 0.0065663187 0.03456767
0.323 0.320 -0.009013813 0.0016794009 0.032124214
0.327 0.322 -0.0077920835 -0.0032075169 0.028459024
0.327 0.325 -0.009013813 -0.0044292463 0.026015565
0.329 0.327 -0.010235542 -0.008094435 0.022350376
0.333 0.330 -0.011457272 -0.0105378935 0.019906918
0.336 0.332 -0.010235542 -0.011759623 0.018685188
0.338 0.334 -0.010235542 -0.012981352 0.01624173
0.339 0.337 -0.013900731 -0.0105378935 0.01502
0.342 0.339 -0.010235542 -0.012981352 0.01379827
0.344 0.342 -0.010235542 -0.0105378935 0.01379827
0.347 0.344 -0.0053486247 -0.012981352 0.01379827
0.349 0.346 -0.006570354 -0.0105378935 0.01379827
0.351 0.349 -0.0016834363 -0.0105378935 0.012576541
0.355 0.351 0.001981752 -0.009316164 0.01379827
0.356 0.354 0.004425211 -0.008094435 0.01379827
0.359 0.356 0.011755586 -0.008094435 0.01502
0.361 0.358 0.014199048 -0.0056509757 0.01502
0.363 0.361 0.023972884 -0.0056509757 0.01502
0.366 0.363 0.025194608 -7.64058E-4 0.01502
0.368 0.366 0.02763807 4.5767147E-4 0.01379827
0.372 0.368 0.031303257 0.00412286 0.01379827
0.377 0.370 0.03985536 0.0029011304 0.01379827
0.377 0.373 0.04474228 0.007788048 0.012576541
0.377 0.375 0.04596401 0.010231507 0.012576541
0.380 0.377 0.048407473 0.011453236 0.0113548115
0.384 0.380 0.055737846 0.012674966 0.0113548115
0.386 0.382 0.055737846 0.01878361 0.012576541
0.386 0.385 0.059403032 0.021227073 0.012576541
0.389 0.387 0.06428995 0.02611399 0.0113548115
0.393 0.389 0.06917687 0.028557446 0.0113548115
0.395 0.392 0.06917687 0.031000912 0.012576541
0.397 0.394 0.06673341 0.0346661 0.01502
0.399 0.397 0.06551168 0.039553016 0.01379827
0.402 0.399 0.06306822 0.04199647 0.01624173
0.404 0.401 0.06673341 0.038331285 0.017463459
0.407 0.404 0.060624763 0.04199647 0.017463459
0.419 0.406 0.054516114 0.04199647 0.01502
0.419 0.409 0.056959577 0.037109554 0.01624173
0.419 0.411 0.05207266 0.03588783 0.01502
0.419 0.413 0.049629197 0.032222636 0.017463459
0.419 0.416 0.04474228 0.02977918 0.01379827
