accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.069 0.063 0.0916224 1.3090214 8.504847
0.070 0.065 0.0916224 1.3090214 8.504847
0.072 0.067 0.13232207 1.663348 9.931729
0.079 0.070 0.12753388 1.637013 9.867088
0.079 0.072 0.11795749 1.6154659 9.797659
0.081 0.075 0.12035158 1.6226484 9.677955
0.081 0.077 0.11316928 1.6274364 9.584584
0.084 0.080 0.12992798 1.6465893 9.484033
0.087 0.082 0.13471618 1.6801066 9.407421
0.091 0.085 0.14668667 1.7040477 9.302081
0.091 0.087 0.14429256 1.7423532 9.19674
0.093 0.090 0.15147486 1.739959 9.146464
0.095 0.092 0.14429256 1.7615061 9.077035
0.099 0.094 0.13471618 1.7878411 9.024365
0.102 0.097 0.13950437 1.7974174 8.969301
0.103 0.099 0.17062765 1.8045998 8.952542
0.105 0.102 0.16105126 1.8189645 8.916632
0.112 0.104 0.16823356 1.7926294 8.907054
0.112 0.107 0.18259814 1.7758706 8.899872
0.114 0.109 0.19217454 1.7734766 8.9022665
0.115 0.112 0.21132734 1.7926294 8.880719
0.117 0.114 0.21372144 1.7926294 8.914237
0.121 0.116 0.20893323 1.7830529 8.914237
0.125 0.119 0.23526831 1.8022057 8.962119
0.127 0.121 0.20414504 1.7854469 8.995636
0.127 0.124 0.21132734 1.7806588 9.084218
0.130 0.126 0.19935684 1.8189645 9.112947
0.132 0.129 0.18738635 1.7902352 9.177588
0.137 0.131 0.21372144 1.7878411 9.251805
0.139 0.134 0.23526831 1.7950234 9.268563
0.139 0.136 0.2783621 1.7998116 9.314052
0.142 0.138 0.30948538 1.8022057 9.378693
0.144 0.141 0.35497326 1.8022057 9.419393
0.150 0.143 0.38849062 1.8237525 9.493609
0.150 0.146 0.42440212 1.8093879 9.548674
0.151 0.148 0.4627077 1.8285408 9.589374
0.154 0.150 0.50340736 1.8764228 9.603737
0.157 0.153 0.5441071 1.905152 9.630073
0.165 0.155 0.57523036 1.933881 9.63486
0.165 0.158 0.6231123 1.9554281 9.63486
0.165 0.160 0.6422651 1.9913394 9.613315
0.166 0.162 0.6686002 2.053586 9.613315
0.169 0.165 0.67338836 2.077527 9.613315
0.173 0.167 0.7356349 2.1254091 9.608525
0.175 0.170 0.7428173 2.1421678 9.579796
0.175 0.172 0.74521136 2.1613204 9.5414915
0.178 0.174 0.7787287 2.1948378 9.536702
0.180 0.177 0.7811228 2.199626 9.498397
0.185 0.179 0.8002757 2.197232 9.479244
0.185 0.182 0.7978815 2.1828673 9.438544
0.188 0.184 0.75957596 2.1708968 9.445727
0.190 0.186 0.7667582 2.1469557 9.457697
0.193 0.189 0.7428173 2.1325912 9.462485
0.197 0.191 0.7140881 2.1230147 9.481638
0.198 0.194 0.6997235 2.0966797 9.507974
0.200 0.196 0.6829648 2.075133 9.512761
0.202 0.198 0.64705336 2.05598 9.515155
0.204 0.201 0.639871 2.0248568 9.543885
0.209 0.203 0.5943831 1.9961276 9.551067
0.209 0.205 0.5656539 1.9530339 9.553461
0.212 0.208 0.52016604 1.9290929 9.558249
0.213 0.210 0.4794664 1.8883932 9.577402
0.217 0.213 0.4507372 1.8476936 9.591767
0.222 0.215 0.42200804 1.8309349 9.586978
0.222 0.217 0.43876672 1.8285408 9.5821905
0.225 0.220 0.43158442 1.8309349 9.577402
0.226 0.222 0.445949 1.8045998 9.539096
0.228 0.225 0.49143687 1.8309349 9.510367
0.233 0.227 0.51777196 1.8548758 9.472062
0.233 0.229 0.5512893 1.9195166 9.426575
0.237 0.232 0.60395956 1.9626102 9.385875
0.237 0.234 0.6111418 2.0176744 9.299687
0.243 0.237 0.6518415 2.0655565 9.225471
0.245 0.239 0.6686002 2.1254091 9.191953
0.246 0.241 0.6973294 2.1828673 9.093794
0.248 0.244 0.7380291 2.2068083 9.010001
0.249 0.246 0.7643641 2.2570846 8.954936
0.252 0.249 0.7787287 2.3121488 8.938178
0.257 0.251 0.8002757 2.343272 8.911843
0.257 0.253 0.81703436 2.360031 8.86875
0.261 0.256 0.8218225 2.419883 8.859172
0.261 0.258 0.84815764 2.4055185 8.851991
0.265 0.261 0.86012805 2.3743954 8.856778
0.269 0.263 0.87209857 2.3504543 8.825655
0.269 0.265 0.83379304 2.1661088 8.806502
0.272 0.268 0.7835169 1.567584 8.68201
0.275 0.270 0.61592996 0.54051554 8.555122
0.277 0.272 0.4555254 0.6147326 8.717921
0.282 0.275 0.23048013 0.8852658 8.959725
0.282 0.277 -0.061599925 1.153405 9.256594
0.285 0.280 -0.3153744 1.4047853 9.503185
0.286 0.282 -0.43507937 1.6202542 9.764142
0.289 0.284 -0.35128587 1.8812109 9.965246
0.293 0.287 -0.23876321 2.0607684 10.128045
0.293 0.289 -0.15257567 2.199626 10.24775
0.295 0.292 0.0030407459 2.2331436 10.321967
0.298 0.294 0.17780995 2.2379315 10.357879
0.300 0.296 0.38130835 2.2331436 10.324361
0.304 0.299 0.57762444 2.2092025 10.264508
0.306 0.301 0.7140881 2.221173 10.216626
0.309 0.304 0.82900476 2.2020202 10.1328335
