gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.139 0.135 -0.022304196 -0.061323185 0.15693879
0.142 0.137 -0.023525925 -0.06743182 0.15938225
0.142 0.140 -0.019860737 -0.07476221 0.15938225
0.144 0.142 -0.019860737 -0.07842739 0.16060397
0.150 0.144 -0.011308631 -0.084536046 0.16304743
0.150 0.147 -0.01253036 -0.084536046 0.16060397
0.151 0.149 -0.006421713 -0.083314314 0.16060397
0.154 0.152 -0.0015347954 -0.07964912 0.16060397
0.156 0.154 0.004573852 -0.07476221 0.15693879
0.164 0.156 0.00946077 -0.069875285 0.15449533
0.165 0.159 0.020456336 -0.064988375 0.14838669
0.165 0.161 0.025343254 -0.061323185 0.14227803
0.166 0.164 0.031451896 -0.055214535 0.1325042
0.169 0.166 0.040004008 -0.05154935 0.12273035
0.173 0.168 0.04733438 -0.047884155 0.11173479
0.173 0.171 0.055886485 -0.04421897 0.099517494
0.175 0.173 0.061995134 -0.038110323 0.08607847
0.178 0.176 0.07054724 -0.034445133 0.07386118
0.180 0.178 0.07787762 -0.034445133 0.060422152
0.185 0.180 0.08520799 -0.033223405 0.04698313
0.185 0.183 0.096203566 -0.034445133 0.03476584
0.188 0.185 0.101090476 -0.034445133 0.021326814
0.190 0.188 0.108420864 -0.038110323 0.0066660605
0.193 0.190 0.114529505 -0.040553782 -0.0067729633
0.197 0.192 0.11941643 -0.04421897 -0.022655448
0.198 0.195 0.12430334 -0.047884155 -0.037316203
0.200 0.197 0.13652064 -0.05154935 -0.048311763
0.202 0.200 0.14018583 -0.052771073 -0.058085598
0.204 0.202 0.14995965 -0.05154935 -0.06663771
0.209 0.204 0.16584215 -0.052771073 -0.07274636
0.209 0.207 0.17805944 -0.052771073 -0.076411545
0.212 0.209 0.18172462 -0.049105886 -0.078855
0.213 0.211 0.20249403 -0.050327618 -0.08007673
0.217 0.214 0.21104613 -0.04666243 -0.07763327
0.221 0.216 0.2183765 -0.041775513 -0.075189814
0.222 0.219 0.22570689 -0.035666864 -0.070302896
0.225 0.221 0.23914589 -0.034445133 -0.06297252
0.225 0.223 0.24647628 -0.025893029 -0.058085598
0.228 0.226 0.25136322 -0.018562652 -0.051976956
0.233 0.228 0.261137 -0.0112322755 -0.043424845
0.233 0.231 0.2635805 -0.0026801694 -0.038537927
0.237 0.233 0.26480222 0.007093666 -0.032429285
0.237 0.235 0.26480222 0.016867502 -0.028764093
0.243 0.238 0.26602393 0.024197878 -0.026320634
0.245 0.240 0.25380665 0.033971716 -0.022655448
0.246 0.243 0.25747186 0.03641517 -0.022655448
0.248 0.245 0.24647628 0.040080365 -0.023877176
0.249 0.247 0.23792417 0.04252382 -0.026320634
0.252 0.250 0.22570689 0.040080365 -0.02998582
0.261 0.252 0.21226786 0.037636902 -0.03487274
0.261 0.255 0.19882885 0.033971716 -0.04098139
0.261 0.257 0.19027673 0.022976147 -0.049533494
0.261 0.259 0.17561598 0.010758854 -0.058085598
0.264 0.262 0.16217695 -0.0039018989 -0.06785943
0.269 0.264 0.14507274 -0.0246713 -0.08007673
0.269 0.266 0.13652064 -0.056436267 -0.08985057
0.272 0.269 0.12430334 -0.09797506 -0.09595922
0.275 0.271 0.113307774 -0.15539636 -0.082520194
0.277 0.274 0.094981834 -0.22014801 -0.04709004
0.281 0.276 0.08398626 -0.27390411 -0.01776853
0.282 0.278 0.074212424 -0.31422117 0.0017791428
0.284 0.281 0.06810378 -0.3447644 0.013996437
0.285 0.283 0.07176897 -0.37042072 0.024992002
0.289 0.286 0.07909935 -0.38752493 0.039652757
0.292 0.288 0.09864703 -0.39241186 0.068974264
0.293 0.290 0.11941643 -0.38385975 0.10929133
0.295 0.293 0.1597335 -0.3606469 0.15693879
0.298 0.295 0.19394192 -0.32277328 0.20092104
0.300 0.298 0.22815032 -0.28245622 0.23024255
0.304 0.300 0.26602393 -0.24824779 0.24245985
0.306 0.302 0.2941237 -0.21892628 0.23879465
0.309 0.305 0.31489313 -0.19693515 0.22169045
0.309 0.307 0.33810598 -0.18349613 0.19236894
0.312 0.310 0.35154498 -0.16883537 0.16304743
0.317 0.312 0.3564319 -0.15050943 0.13494766
0.317 0.314 0.36376232 -0.13340522 0.11051306
0.320 0.317 0.3723144 -0.11263582 0.09096539
0.322 0.319 0.3796448 -0.088201225 0.07630464
0.326 0.322 0.37720132 -0.052771073 0.06775253
0.327 0.324 0.37842304 -0.013675734 0.062865615
0.329 0.326 0.36864924 0.031528257 0.057978697
0.332 0.329 0.37109268 0.074288785 0.056756966
0.333 0.331 0.3588754 0.12315796 0.055535235
0.336 0.333 0.34787983 0.17080541 0.05431351
0.339 0.336 0.33810598 0.2160094 0.051870048
0.342 0.338 0.3234452 0.25876993 0.050648317
0.343 0.341 0.3100062 0.29297835 0.045761403
0.346 0.343 0.29168028 0.31863466 0.038431026
0.349 0.345 0.27213258 0.33451715 0.02987892
0.352 0.348 0.25502837 0.34551272 0.018883355
0.354 0.350 0.23914589 0.34795618 0.005444331
0.356 0.353 0.21471132 0.34795618 -0.009216422
0.358 0.355 0.19760711 0.3406258 -0.025098903
0.360 0.357 0.17928118 0.32963023 -0.04220312
0.363 0.360 0.15484658 0.31619123 -0.06297252
0.366 0.362 0.13529891 0.29664356 -0.082520194
0.368 0.365 0.1181947 0.27220896 -0.10206786
0.369 0.367 0.0937601 0.24655265 -0.1203938
0.372 0.369 0.075434156 0.21723112 -0.1411632
0.375 0.372 0.061995134 0.18424444 -0.15826741
0.378 0.374 0.049777843 0.15125774 -0.17537162
0.379 0.377 0.037560545 0.11460586 -0.19247583
0.381 0.379 0.026564978 0.08161916 -0.20958005
0.384 0.381 0.013125956 0.0498542 -0.22546253
0.387 0.384 0.008239038 0.02175442 -0.23767982
0.393 0.386 9.0866536E-4 -0.0039018989 -0.25234058
0.393 0.388 -0.0051999837 -0.028336488 -0.2657796
0.393 0.391 -0.0076434426 -0.050327618 -0.2779969
0.395 0.393 -0.0100869015 -0.066210106 -0.28777072
0.399 0.396 -0.022304196 -0.08209258 -0.30120975
0.403 0.398 -0.025969384 -0.09430988 -0.30854014
0.403 0.400 -0.03452149 -0.10530545 -0.3158705
0.405 0.403 -0.043073595 -0.116301 -0.32564434
0.418 0.405 -0.05406916 -0.12729658 -0.33297473
0.418 0.408 -0.06750818 -0.13584869 -0.33786163
0.418 0.410 -0.07117338 -0.14806597 -0.3403051
0.418 0.412 -0.088277586 -0.1529529 -0.34152684
0.418 0.415 -0.106603526 -0.15661809 -0.34274855
0.419 0.417 -0.12126429 -0.16028327 -0.34152684
0.421 0.420 -0.13348158 -0.16272673 -0.33908337
0.438 0.422 -0.14936405 -0.16272673 -0.33419645
0.438 0.424 -0.1640248 -0.15906154 -0.33053127
0.438 0.427 -0.17746383 -0.15539636 -0.32564434
0.438 0.429 -0.19090286 -0.15173116 -0.31709224
0.438 0.432 -0.20434187 -0.13707042 -0.30854014
0.438 0.434 -0.21655917 -0.116301 -0.29754457
0.441 0.436 -0.22755474 -0.083314314 -0.28166208
0.441 0.439 -0.23488511 -0.04421897 -0.2657796
0.450 0.441 -0.23732857 -0.0039018989 -0.24623193
0.450 0.444 -0.23977204 0.035193447 -0.22546253
