accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.064 0.057 -0.3272185 2.242673 9.97478
0.064 0.059 -0.25782663 1.8523438 8.416156
0.066 0.062 -0.23389842 2.3407788 9.826426
0.076 0.064 -0.22432712 2.391028 9.795319
0.076 0.067 -0.22911277 2.431706 9.766604
0.076 0.069 -0.18604197 2.4990041 9.701999
0.076 0.072 -0.17407785 2.5301108 9.65175
0.078 0.074 -0.17407785 2.5444677 9.5964155
0.081 0.077 -0.18364914 2.594717 9.510274
0.084 0.079 -0.18843478 2.6042883 9.450453
0.085 0.082 -0.20997019 2.6282165 9.376275
0.088 0.084 -0.20279172 2.6401806 9.2997055
0.090 0.086 -0.26261228 2.652145 9.218349
0.093 0.089 -0.27218357 2.6425736 9.175279
0.096 0.091 -0.27936205 2.6162524 9.09153
0.097 0.094 -0.28414768 2.5923243 9.024232
0.099 0.096 -0.32961133 2.582753 8.966804
0.101 0.099 -0.32961133 2.5803602 8.890233
0.109 0.101 -0.35353956 2.556432 8.835198
0.109 0.104 -0.3487539 2.5301108 8.787342
0.109 0.106 -0.34157544 2.501397 8.722735
0.111 0.108 -0.35353956 2.4774687 8.655737
0.114 0.111 -0.34396824 2.4607189 8.610273
0.119 0.113 -0.34157544 2.4535406 8.5887375
0.122 0.116 -0.35593235 2.4077778 8.521739
0.122 0.118 -0.35114673 2.3886352 8.514561
0.124 0.121 -0.35593235 2.3742783 8.507381
0.126 0.123 -0.34636107 2.324029 8.49781
0.132 0.125 -0.36550367 2.3192434 8.485547
0.134 0.128 -0.4016951 2.2761726 8.519346
0.134 0.130 -0.41844487 2.283351 8.540881
0.136 0.133 -0.44955155 2.2642083 8.579166
0.139 0.135 -0.4543372 2.2402802 8.607881
0.142 0.137 -0.48065826 2.2331018 8.660522
0.143 0.140 -0.5021936 2.2354946 8.686844
0.145 0.142 -0.49980083 2.2522442 8.7418785
0.148 0.145 -0.51176494 2.2307088 8.758628
0.150 0.147 -0.52612185 2.2067807 8.8136635
0.154 0.149 -0.5285147 2.1996021 8.8543415
0.161 0.152 -0.538086 2.2402802 8.851949
0.161 0.154 -0.5476573 2.216352 8.916554
0.161 0.156 -0.5620142 2.2067807 8.897412
0.162 0.159 -0.5667999 2.2115662 8.93809
0.166 0.161 -0.5620142 2.2235305 8.933304
0.168 0.164 -0.5620142 2.2354946 8.935697
0.169 0.166 -0.55483574 2.2402802 8.914162
0.172 0.168 -0.55483574 2.2378874 8.926126
0.174 0.171 -0.56440705 2.2594228 8.911769
0.178 0.173 -0.5452645 2.2498515 8.883055
0.179 0.176 -0.5500501 2.242673 8.88784
0.181 0.178 -0.5476573 2.2187448 8.866305
0.184 0.180 -0.5596214 2.2067807 8.868698
0.186 0.183 -0.5620142 2.1972094 8.849555
0.190 0.185 -0.57158554 2.1732812 8.820842
0.191 0.188 -0.5907281 2.134996 8.806484
0.193 0.190 -0.605085 2.1326032 8.823235
0.196 0.192 -0.6337989 2.1062822 8.825627
0.198 0.195 -0.64576304 2.056033 8.835198
0.202 0.197 -0.6840482 2.039283 8.830413
0.202 0.200 -0.7055836 2.0201404 8.82802
0.207 0.202 -0.7366903 2.000998 8.823235
0.207 0.204 -0.7606185 1.9722841 8.808877
0.209 0.207 -0.8060821 1.9411774 8.832806
0.215 0.209 -0.81565344 1.8765712 8.811271
0.215 0.212 -0.834796 1.8885353 8.82802
0.218 0.214 -0.85154575 1.8260227 8.830413
0.219 0.216 -0.8874381 1.782952 8.851949
0.223 0.219 -0.88025963 1.7566309 8.904591
0.227 0.221 -0.8970094 1.7327027 8.923733
0.227 0.223 -0.88265246 1.7111673 8.933304
0.229 0.226 -0.88265246 1.6680965 8.952447
