gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.140 0.136 -0.070858285 -0.042453885 -0.046729814
0.140 0.138 -0.058641337 -0.029015245 -0.04550812
0.143 0.141 -0.061084725 -0.030236939 -0.04550812
0.145 0.143 -0.0659715 -0.03268033 -0.04795151
0.149 0.145 -0.05131117 -0.02535016 -0.04795151
0.150 0.148 -0.05986303 -0.029015245 -0.0503949
0.157 0.150 -0.058641337 -0.030236939 -0.051616594
0.157 0.153 -0.05375456 -0.03268033 -0.055281676
0.157 0.155 -0.058641337 -0.04367558 -0.060168456
0.161 0.158 -0.05131117 -0.04367558 -0.06383354
0.162 0.160 -0.046424393 -0.049784053 -0.06994201
0.164 0.163 -0.0452027 -0.055892523 -0.07605048
0.167 0.165 -0.03787253 -0.055892523 -0.07849387
0.170 0.167 -0.030542362 -0.05833591 -0.083380654
0.172 0.170 -0.035429142 -0.05467083 -0.089489125
0.173 0.172 -0.018325418 -0.05222744 -0.09071082
0.177 0.175 -0.0012216945 -0.062000997 -0.09681929
0.179 0.177 -0.002443389 -0.05833591 -0.101706065
0.181 0.180 -0.0036650836 -0.06566608 -0.10903624
0.185 0.182 0.015882028 -0.06566608 -0.111479625
0.185 0.185 0.025655584 -0.06810947 -0.11514471
0.188 0.187 0.020768806 -0.072996244 -0.12125318
0.190 0.189 0.031764057 -0.072996244 -0.12491827
0.193 0.192 0.036650836 -0.074217945 -0.12858334
0.197 0.194 0.041537613 -0.07666133 -0.13102673
0.199 0.197 0.0452027 -0.07543964 -0.13224843
0.200 0.199 0.041537613 -0.07788303 -0.13591352
0.203 0.201 0.043981 -0.07788303 -0.13835691
0.205 0.204 0.04031592 -0.07543964 -0.1408003
0.210 0.206 0.035429142 -0.07788303 -0.14446537
0.210 0.209 0.029320668 -0.07788303 -0.14690876
0.212 0.211 0.019547112 -0.07666133 -0.14813046
0.214 0.213 0.01099525 -0.080326416 -0.15179555
0.217 0.216 0.007330167 -0.07543964 -0.15668233
0.221 0.218 -0.0 -0.072996244 -0.15790401
0.221 0.221 -0.007330167 -0.070552856 -0.15790401
0.224 0.223 -0.01343864 -0.06566608 -0.1615691
0.226 0.225 -0.030542362 -0.064444385 -0.16523418
0.229 0.228 -0.035429142 -0.05955761 -0.16279079
0.233 0.230 -0.041537613 -0.051005747 -0.16279079
0.233 0.232 -0.046424393 -0.04734066 -0.15912572
0.238 0.235 -0.05131117 -0.0387888 -0.15790401
0.238 0.237 -0.052532863 -0.024128467 -0.15423894
0.240 0.240 -0.052532863 -0.014354911 -0.15057385
0.246 0.242 -0.054976255 -0.00335966 -0.14446537
0.246 0.244 -0.05375456 0.006413896 -0.1395786
0.249 0.247 -0.04886778 0.012522369 -0.13469182
0.250 0.249 -0.04886778 0.02351762 -0.13102673
0.255 0.252 -0.0452027 0.032069482 -0.12613995
0.257 0.254 -0.0452027 0.03451287 -0.12003148
0.257 0.256 -0.041537613 0.040621344 -0.1163664
0.260 0.259 -0.030542362 0.049173206 -0.11025793
0.263 0.261 -0.019547112 0.054059982 -0.10414946
0.265 0.264 -0.01343864 0.060168456 -0.09926268
0.271 0.266 -0.004886778 0.06872032 -0.09315421
0.271 0.268 0.002443389 0.07482879 -0.08826743
0.272 0.271 0.015882028 0.08093726 -0.079715565
0.273 0.273 0.025655584 0.09071082 -0.07482879
0.277 0.276 0.03298575 0.09681929 -0.067498624
0.281 0.278 0.05375456 0.105371155 -0.06261184
0.284 0.280 0.05131117 0.10048437 -0.057725064
0.284 0.283 0.058641337 0.10048437 -0.05283829
0.287 0.285 0.06474981 0.095597595 -0.049173206
0.288 0.288 0.06352811 0.0943759 -0.04795151
0.292 0.290 0.070858285 0.09193251 -0.046729814
0.296 0.292 0.07574506 0.08460235 -0.046729814
0.296 0.295 0.0684149 0.07116371 -0.049173206
0.298 0.297 0.067193195 0.060168456 -0.0503949
0.300 0.299 0.07574506 0.057725064 -0.05283829
0.304 0.302 0.0684149 0.046729814 -0.058946762
0.307 0.304 0.05986303 0.035734564 -0.06383354
0.309 0.307 0.0684149 0.028404398 -0.067498624
0.310 0.309 0.0659715 0.022295926 -0.073607095
0.313 0.311 0.06230642 0.018630842 -0.07727218
0.316 0.314 0.05619795 0.006413896 -0.08215895
0.318 0.316 0.05375456 3.0542363E-4 -0.08582404
0.321 0.319 0.04886778 -9.162709E-4 -0.08826743
0.322 0.321 0.047646087 -0.0045813546 -0.09071082
0.325 0.323 0.043981 -0.009468133 -0.0943759
0.329 0.326 0.042759307 -0.014354911 -0.095597595
0.331 0.328 0.04886778 -0.013133216 -0.09681929
0.332 0.331 0.042759307 -0.018019995 -0.09681929
0.334 0.333 0.04031592 -0.018019995 -0.095597595
0.338 0.335 0.039094225 -0.020463383 -0.09681929
0.340 0.338 0.036650836 -0.021685077 -0.09681929
0.343 0.340 0.041537613 -0.016798299 -0.095597595
0.344 0.343 0.04031592 -0.011911522 -0.095597595
0.346 0.345 0.042759307 -0.009468133 -0.09193251
0.349 0.347 0.046424393 0.003970507 -0.09071082
0.352 0.350 0.043981 0.01007898 -0.09071082
0.354 0.352 0.042759307 0.018630842 -0.09071082
0.356 0.354 0.042759307 0.028404398 -0.089489125
0.357 0.357 0.04031592 0.036956258 -0.089489125
0.361 0.359 0.035429142 0.044286426 -0.08826743
0.364 0.362 0.039094225 0.060168456 -0.08582404
0.367 0.364 0.02687728 0.058946762 -0.08704574
0.368 0.366 0.020768806 0.06383354 -0.08704574
0.371 0.369 0.019547112 0.065055236 -0.083380654
0.373 0.371 0.01099525 0.067498624 -0.08460235
0.376 0.374 0.0061084726 0.06139015 -0.08704574
0.379 0.376 -0.0061084726 0.057725064 -0.08582404
0.380 0.378 -0.007330167 0.051616594 -0.08582404
0.382 0.381 -0.007330167 0.04550812 -0.08826743
0.385 0.383 -0.01099525 0.03451287 -0.089489125
0.387 0.386 -0.008551862 0.029626092 -0.089489125
0.391 0.388 -0.004886778 0.025961008 -0.08826743
0.392 0.390 -0.007330167 0.022295926 -0.08582404
0.393 0.393 -0.0036650836 0.018630842 -0.08460235
0.396 0.395 0.009773556 0.013744064 -0.08215895
0.399 0.398 0.01343864 0.008857286 -0.08093726
0.402 0.400 0.023212196 -0.00335966 -0.079715565
0.413 0.402 0.028098974 -0.013133216 -0.07849387
0.413 0.405 0.036650836 -0.024128467 -0.07727218
0.413 0.407 0.0452027 -0.037567105 -0.07849387
0.413 0.410 0.046424393 -0.046118967 -0.07727218
0.414 0.412 0.07452337 -0.053449135 -0.07482879
0.415 0.414 0.07941014 -0.06688777 -0.073607095
0.417 0.417 0.09162709 -0.07543964 -0.06872032
0.436 0.419 0.10750912 -0.080326416 -0.065055236
0.436 0.421 0.11728267 -0.086434886 -0.06261184
0.436 0.424 0.13560809 -0.086434886 -0.057725064
0.436 0.426 0.14782503 -0.09009997 -0.051616594
0.436 0.429 0.17470232 -0.09009997 -0.046729814
0.436 0.431 0.18569757 -0.09743014 -0.041843038
0.436 0.433 0.19913621 -0.10353861 -0.036956258
0.446 0.436 0.21623993 -0.110868774 -0.030847786
0.446 0.438 0.23334365 -0.11331217 -0.02351762
0.446 0.441 0.25044736 -0.11942064 -0.016187452
