gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.136 0.108 -0.11361759 -0.20860434 -0.34482327
0.136 0.110 -0.10995251 -0.22082129 -0.3399365
0.136 0.112 -0.10628742 -0.23059484 -0.3362714
0.136 0.115 -0.10017895 -0.2415901 -0.32771957
0.136 0.117 -0.10262234 -0.25136364 -0.32161108
0.136 0.120 -0.10384403 -0.2586938 -0.31428093
0.136 0.122 -0.09773556 -0.2599155 -0.30450734
0.139 0.124 -0.092848785 -0.2586938 -0.2935121
0.139 0.127 -0.09529217 -0.2562504 -0.28251687
0.139 0.129 -0.09529217 -0.24769856 -0.26907822
0.139 0.132 -0.092848785 -0.23548162 -0.2519745
0.139 0.134 -0.092848785 -0.23548162 -0.2519745
0.139 0.136 -0.087962 -0.22204298 -0.23731416
0.141 0.139 -0.08185353 -0.20860434 -0.21776704
0.145 0.141 -0.08063184 -0.18783553 -0.20310672
0.146 0.144 -0.067193195 -0.16828842 -0.1847813
0.148 0.146 -0.057419643 -0.1487413 -0.16889927
0.151 0.149 -0.046424393 -0.13163759 -0.15179555
0.153 0.151 -0.035429142 -0.11942064 -0.13591352
0.159 0.154 -0.02687728 -0.110868774 -0.12247488
0.159 0.156 -0.014660334 -0.110868774 -0.11025793
0.160 0.158 -0.0061084726 -0.11942064 -0.101706065
0.162 0.161 0.0036650836 -0.13652436 -0.0943759
0.165 0.163 0.009773556 -0.15973656 -0.09071082
0.169 0.166 0.023212196 -0.18294875 -0.08704574
0.173 0.168 0.0219905 -0.21349111 -0.08704574
0.173 0.171 0.025655584 -0.24525517 -0.08826743
0.174 0.173 0.039094225 -0.27457583 -0.09071082
0.177 0.175 0.03787253 -0.3087833 -0.09315421
0.181 0.178 0.036650836 -0.33932567 -0.09804098
0.181 0.180 0.02443389 -0.36009446 -0.105371155
0.184 0.183 0.042759307 -0.38208497 -0.11025793
0.186 0.185 0.042759307 -0.3991887 -0.11514471
0.189 0.188 0.03420745 -0.40774053 -0.12003148
0.193 0.190 0.03420745 -0.41018394 -0.12491827
0.193 0.193 0.035429142 -0.40896225 -0.12980504
0.196 0.195 0.03298575 -0.3930802 -0.13591352
0.198 0.197 0.039094225 -0.3723114 -0.14202198
0.201 0.200 0.041537613 -0.34299073 -0.14813046
0.207 0.202 0.043981 -0.31244838 -0.15301724
0.207 0.204 0.052532863 -0.27824092 -0.15912572
0.207 0.207 0.061084725 -0.23548162 -0.16523418
0.210 0.209 0.070858285 -0.193944 -0.17134266
0.213 0.212 0.07207998 -0.15362808 -0.17989452
0.217 0.214 0.08185353 -0.11331217 -0.18966807
0.218 0.216 0.08429692 -0.074217945 -0.19944163
0.221 0.219 0.09651387 -0.037567105 -0.20799349
0.223 0.221 0.098957255 -0.005803049 -0.21776704
0.224 0.224 0.10628742 0.02351762 -0.229984
0.230 0.226 0.10140064 0.04795151 -0.24220094
0.230 0.228 0.105065726 0.067498624 -0.25319618
0.232 0.231 0.10262234 0.08582404 -0.26541314
0.234 0.233 0.0904054 0.09926268 -0.2776301
0.236 0.236 0.09162709 0.11514471 -0.28618193
0.241 0.238 0.08674031 0.12736166 -0.29229042
0.241 0.240 0.07574506 0.1395786 -0.29839888
0.244 0.243 0.058641337 0.15179555 -0.30328566
0.246 0.245 0.05375456 0.16401249 -0.30572906
0.249 0.248 0.043981 0.17500775 -0.30572906
0.253 0.250 0.028098974 0.1847813 -0.30817243
0.254 0.252 0.009773556 0.19088978 -0.30939415
0.256 0.255 -0.01343864 0.19577655 -0.31061584
0.258 0.257 -0.031764057 0.19944163 -0.31183752
0.261 0.260 -0.05131117 0.20188501 -0.3130592
0.264 0.262 -0.07574506 0.19944163 -0.31428093
0.267 0.264 -0.10262234 0.19211146 -0.3155026
0.268 0.267 -0.11850437 0.19211146 -0.3155026
0.270 0.269 -0.14049487 0.1847813 -0.3167243
0.273 0.271 -0.15882029 0.17622943 -0.3191677
0.276 0.274 -0.17470232 0.1603474 -0.3203894
0.280 0.276 -0.19547112 0.1395786 -0.32283276
0.280 0.279 -0.21135315 0.117588095 -0.32649785
0.282 0.281 -0.22601348 0.09193251 -0.32771957
0.284 0.283 -0.23823044 0.06994201 -0.33138463
0.288 0.286 -0.24189551 0.04550812 -0.33504972
0.290 0.288 -0.25044736 0.025961008 -0.33749312
0.292 0.291 -0.25166908 0.0076355906 -0.3423799
0.294 0.293 -0.25777754 -0.010689827 -0.34848836
0.297 0.295 -0.25777754 -0.024128467 -0.35093176
0.299 0.298 -0.25411245 -0.040010497 -0.35581854
0.302 0.300 -0.2455606 -0.048562355 -0.36070532
0.306 0.303 -0.23456535 -0.05833591 -0.3631487
0.306 0.305 -0.22601348 -0.06566608 -0.3655921
0.308 0.307 -0.21013145 -0.07177455 -0.36803547
0.311 0.310 -0.18814096 -0.062000997 -0.37170056
0.314 0.312 -0.16859384 -0.05222744 -0.37170056
0.316 0.315 -0.14538164 -0.04123219 -0.37047887
0.318 0.317 -0.120947756 -0.024128467 -0.37047887
0.320 0.319 -0.10262234 -9.162709E-4 -0.37047887
0.323 0.322 -0.076966755 0.022295926 -0.36803547
0.327 0.324 -0.057419643 0.041843038 -0.36437038
0.328 0.326 -0.03298575 0.0723854 -0.361927
0.330 0.329 -0.009773556 0.09926268 -0.3594836
0.332 0.331 0.014660334 0.12858334 -0.35704023
0.336 0.334 0.030542362 0.15179555 -0.35459682
0.340 0.336 0.046424393 0.17256436 -0.35093176
0.340 0.338 0.05619795 0.19211146 -0.35093176
0.342 0.341 0.0684149 0.20677179 -0.34482327
0.344 0.343 0.07941014 0.22387552 -0.34360158
0.348 0.346 0.08551861 0.23364908 -0.3399365
0.350 0.348 0.09407048 0.24342263 -0.3399365
0.352 0.350 0.09651387 0.2507528 -0.3399365
0.357 0.353 0.09407048 0.2519745 -0.3387148
0.357 0.355 0.09162709 0.25686127 -0.3362714
0.359 0.358 0.09407048 0.26052636 -0.33382803
0.363 0.360 0.08674031 0.26174805 -0.33382803
0.364 0.362 0.07941014 0.25686127 -0.33138463
0.365 0.365 0.07452337 0.25808296 -0.32649785
0.368 0.367 0.07574506 0.2544179 -0.32161108
0.373 0.370 0.067193195 0.2495311 -0.3130592
0.375 0.372 0.06352811 0.24708772 -0.30450734
0.376 0.374 0.06474981 0.24342263 -0.2959555
0.378 0.377 0.057419643 0.23853585 -0.28618193
0.380 0.379 0.05375456 0.23364908 -0.273965
0.383 0.382 0.050089475 0.23242739 -0.26174805
0.387 0.384 0.042759307 0.2287623 -0.24708772
0.389 0.386 0.04031592 0.22631891 -0.23120569
0.389 0.389 0.03420745 0.22509721 -0.21288027
0.392 0.391 0.030542362 0.22509721 -0.19455485
0.395 0.393 0.028098974 0.229984 -0.17500775
0.399 0.396 0.03298575 0.23609246 -0.15179555
0.399 0.398 0.03420745 0.24464433 -0.13102673
0.402 0.401 0.035429142 0.25686127 -0.10781454
0.403 0.403 0.039094225 0.273965 -0.08460235
0.414 0.405 0.047646087 0.28984702 -0.06139015
0.414 0.408 0.05131117 0.30817243 -0.03939965
0.414 0.410 0.058641337 0.32894126 -0.014965758
0.414 0.413 0.07207998 0.35215345 0.009468133
0.415 0.415 0.07941014 0.37292224 0.031458635
