accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.081 0.055 -0.72711897 1.2753744 8.5576315
0.081 0.057 -0.7797611 1.6441683 10.044172
0.081 0.060 -0.76301134 1.6561323 10.065707
0.081 0.062 -0.7151549 1.6441683 10.039387
0.081 0.065 -0.68883383 1.6393826 10.058529
0.081 0.067 -0.71276206 1.646561 10.046565
0.081 0.069 -0.6984051 1.6154544 10.051351
0.082 0.072 -0.6792625 1.5747764 10.065707
0.082 0.074 -0.6792625 1.52692 10.106385
0.082 0.077 -0.6792625 1.52692 10.106385
0.083 0.079 -0.7007979 1.498206 10.108778
0.085 0.081 -0.67208403 1.4670994 10.113564
0.088 0.084 -0.6768697 1.4407784 10.163814
0.091 0.086 -0.7007979 1.4240286 10.185648
0.094 0.089 -0.70319074 1.3809577 10.200005
0.095 0.091 -0.6936195 1.3546367 10.23829
0.097 0.094 -0.69601226 1.3498511 10.257433
0.099 0.096 -0.7055836 1.3307085 10.274182
0.107 0.098 -0.7055836 1.3402798 10.288539
0.107 0.101 -0.70319074 1.3187444 10.259826
0.107 0.103 -0.68883383 1.3163515 10.264611
0.109 0.106 -0.7055836 1.3235301 10.27179
0.112 0.108 -0.7151549 1.3307085 10.255039
0.116 0.111 -0.7223333 1.3402798 10.240683
0.120 0.113 -0.73429745 1.3402798 10.216755
0.120 0.115 -0.7510472 1.3402798 10.214361
0.122 0.118 -0.7749754 1.3450655 10.192826
0.124 0.120 -0.7917252 1.3618152 10.20479
0.131 0.123 -0.7893324 1.378565 10.223933
0.131 0.125 -0.78454673 1.3737793 10.211968
0.131 0.128 -0.81565344 1.3953147 10.176077
0.134 0.130 -0.8180462 1.4024931 10.132707
0.137 0.133 -0.79890364 1.4072788 10.115957
0.140 0.135 -0.80847496 1.4264214 10.072886
0.143 0.137 -0.8012965 1.4168501 10.022636
0.143 0.140 -0.8132606 1.4240286 9.979566
0.146 0.142 -0.78454673 1.4407784 9.917353
0.148 0.145 -0.7725826 1.4599209 9.857532
0.152 0.147 -0.7366903 1.4838492 9.761819
0.160 0.150 -0.74386877 1.5077773 9.680463
0.160 0.152 -0.7151549 1.538884 9.605987
0.160 0.154 -0.68883383 1.567598 9.527023
0.160 0.157 -0.686441 1.6154544 9.498309
0.164 0.159 -0.6577271 1.6178472 9.42174
0.167 0.162 -0.65294147 1.6585252 9.381062
0.167 0.164 -0.6242276 1.6800606 9.323633
0.170 0.166 -0.62901324 1.6776677 9.263813
0.172 0.169 -0.59790653 1.6920247 9.196814
0.176 0.171 -0.59551376 1.7279171 9.12503
0.176 0.174 -0.57158554 1.7398812 9.09153
0.180 0.176 -0.53330034 1.7327027 9.019445
0.182 0.178 -0.5189434 1.7303098 8.933304
0.184 0.181 -0.50458646 1.7303098 8.856734
0.188 0.183 -0.45673 1.742274 8.804091
0.188 0.186 -0.41605204 1.7805592 8.744271
0.192 0.188 -0.39930227 1.782952 8.7012005
0.194 0.190 -0.39212382 1.8260227 8.646166
0.196 0.193 -0.34157544 1.8451654 8.619844
0.201 0.195 -0.33439696 1.8765712 8.586345
0.201 0.198 -0.31046873 1.905285 8.5887375
0.206 0.200 -0.32243285 1.933999 8.607881
0.206 0.202 -0.3056831 1.945963 8.627023
0.208 0.205 -0.2650051 1.9722841 8.698808
0.213 0.207 -0.25064817 2.0153549 8.744271
0.213 0.209 -0.253041 2.0464616 8.808877
0.216 0.212 -0.22911277 2.0321047 8.892626
0.218 0.214 -0.20279172 2.0512471 8.964411
0.221 0.217 -0.1788635 2.0847468 9.038589
0.224 0.219 -0.15972091 2.0727825 9.1465645
0.224 0.221 -0.119042926 2.0703897 9.254242
0.228 0.224 -0.071186475 2.056033 9.359526
0.230 0.226 -0.05922236 2.0225334 9.462418
0.232 0.229 -0.01375873 2.0177476 9.538987
0.238 0.231 -0.008973085 2.0081763 9.673285
0.238 0.233 0.005383851 1.9722841 9.716355
0.239 0.236 0.012562319 1.9818554 9.773783
0.241 0.238 -0.016151553 1.8571295 9.747462
0.244 0.241 -0.0951147 1.6106688 9.577272
0.249 0.243 -0.14297116 1.6034902 9.400204
0.250 0.245 -0.17647067 1.646561 9.347562
0.252 0.248 -0.22911277 1.6944175 9.318848
0.255 0.250 -0.23629123 1.7374884 9.273384
0.255 0.253 -0.22671995 1.7805592 9.242277
0.260 0.255 -0.2219343 1.8308084 9.192028
0.261 0.257 -0.18125631 1.864308 9.134601
0.264 0.260 -0.17168503 1.9172492 9.136993
0.266 0.262 -0.0951147 1.9698912 9.141779
0.268 0.264 -0.08075777 2.0225334 9.182457
0.272 0.267 -0.025722843 2.0416758 9.230313
0.272 0.269 -0.01375873 2.0727825 9.268599
0.276 0.272 0.024526432 2.14696 9.306884
0.278 0.274 0.017347964 2.137389 9.366704
0.280 0.276 0.04127619 2.161317 9.395418
0.284 0.279 0.034097724 2.1589243 9.440882
0.287 0.281 0.048454657 2.161317 9.440882
0.287 0.284 0.03888337 2.1589243 9.407382
0.289 0.286 0.046061836 2.1326032 9.349955
0.292 0.288 0.050847482 2.14696 9.328419
0.296 0.291 0.0029910284 2.1014965 9.268599
0.299 0.293 0.010169496 2.0895324 9.218349
0.299 0.296 -0.020937199 2.0440688 9.163314
0.302 0.298 -0.030508488 2.012962 9.084352
0.306 0.300 -0.020937199 1.9531415 9.021839
0.307 0.303 -0.023330022 1.9172492 8.985947
0.310 0.305 -0.011365907 1.8861425 8.945269
0.312 0.308 -0.028115666 1.837987 8.952447
0.313 0.310 -0.025722843 1.8308084 8.978767
0.316 0.312 -0.023330022 1.8044873 8.995518
0.321 0.315 -0.018544376 1.7590238 9.055637
0.322 0.317 -0.0041874396 1.782952 9.093923
0.323 0.320 0.010169496 1.7279171 9.156136
0.325 0.322 0.03888337 1.715953 9.223135
0.328 0.324 0.06281159 1.6824534 9.292527
0.331 0.327 0.06759724 1.6633109 9.337991
0.334 0.329 0.07477571 1.6274185 9.385847
0.338 0.331 0.08673982 1.6106688 9.409775
0.338 0.334 0.10827523 1.5963118 9.409775
0.339 0.336 0.11306087 1.5508481 9.431311
0.344 0.339 0.11306087 1.5508481 9.419347
0.346 0.341 0.11306087 1.5484554 9.383454
0.348 0.343 0.12263216 1.5053846 9.397811
0.349 0.346 0.13459627 1.52692 9.383454
0.355 0.348 0.14416756 1.5508481 9.373882
0.355 0.351 0.13459627 1.5340984 9.383454
0.357 0.353 0.13220344 1.5723835 9.385847
0.360 0.355 0.093918286 1.62024 9.42174
0.361 0.358 0.084346995 1.6704893 9.438489
0.364 0.360 0.06999006 1.701596 9.428918
0.367 0.363 0.048454657 1.7350955 9.433703
0.373 0.365 0.02213361 1.7925233 9.433703
0.373 0.367 0.0029910284 1.8188443 9.412168
0.373 0.370 -0.016151553 1.8690935 9.376275
0.375 0.372 -0.035294134 1.9100707 9.369097
