accelerometer-calibrated.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
0.037 0.022 0.6015655 1.735171 8.993242
0.037 0.024 0.6015655 1.735171 8.993242
0.037 0.027 0.6015655 1.735171 8.993242
0.037 0.029 0.6015655 1.735171 8.993242
0.037 0.032 0.42440212 1.2922627 9.754565
0.037 0.034 0.42440212 1.2922627 9.754565
0.058 0.038 0.42440212 1.2922627 9.754565
0.058 0.041 0.42440212 1.2922627 9.754565
0.058 0.044 0.42440212 1.2922627 9.754565
0.058 0.046 0.42440212 1.2922627 9.754565
0.058 0.049 0.57762444 0.9618769 10.657142
0.058 0.051 0.6087477 0.9044186 10.731359
0.058 0.053 0.63508284 0.85893077 10.803182
0.058 0.056 0.6255064 0.84217197 10.8773985
0.060 0.058 0.61832416 0.866113 10.954009
0.064 0.061 0.6135359 0.90681267 10.989921
0.066 0.063 0.6015655 0.9666652 10.992314
0.067 0.065 0.6111418 1.0360941 10.975556
0.074 0.068 0.5991714 1.0672174 10.975556
0.074 0.070 0.5824126 1.0624292 10.946827
0.075 0.073 0.59198904 1.1007348 10.875004
0.078 0.075 0.5441071 1.1007348 10.841486
0.079 0.077 0.541713 1.0767938 10.79121
0.082 0.080 0.5153779 1.0696114 10.760087
0.084 0.082 0.5297425 1.0863702 10.709811
0.087 0.085 0.5704422 1.1198876 10.628411
0.089 0.087 0.6087477 1.1294639 10.5781355
0.091 0.089 0.639871 1.1629813 10.530253
0.093 0.092 0.6566297 1.1941046 10.475189
0.096 0.094 0.6805707 1.2587453 10.403366
0.099 0.097 0.70211756 1.3377506 10.360272
0.108 0.099 0.7140881 1.4095734 10.341121
0.108 0.101 0.71648216 1.4790024 10.293239
0.108 0.104 0.70211756 1.5125197 10.262115
0.108 0.106 0.6686002 1.5556135 10.1567745
0.111 0.108 0.67578256 1.5580076 10.128045
0.115 0.111 0.7092999 1.5987073 10.034676
0.116 0.113 0.7140881 1.6034955 9.96764
0.118 0.116 0.7284527 1.6154659 9.912577
0.121 0.118 0.7140881 1.6226484 9.840754
0.127 0.120 0.73084676 1.6729243 9.785689
0.127 0.123 0.73324084 1.7016536 9.725837
0.127 0.125 0.7404231 1.7471415 9.692319
0.130 0.128 0.7428173 1.7734766 9.682742
0.133 0.130 0.71887624 1.833329 9.649225
0.138 0.132 0.7284527 1.8859992 9.632466
0.139 0.135 0.6997235 1.9147283 9.637256
0.141 0.137 0.6949352 1.9554281 9.625284
0.142 0.140 0.6997235 1.9554281 9.608525
0.145 0.142 0.7069057 1.9626102 9.613315
0.149 0.144 0.6997235 1.9913394 9.591767
0.151 0.147 0.7092999 1.9985218 9.601343
0.151 0.149 0.6805707 1.9817631 9.596556
0.160 0.152 0.6973294 1.9745808 9.603737
0.160 0.154 0.65902376 1.9721866 9.630073
0.160 0.156 0.65902376 1.9721866 9.654014
0.162 0.159 0.64465916 1.9434576 9.694714
0.165 0.161 0.6374769 1.9314871 9.713866
0.166 0.164 0.6422651 1.9195166 9.756959
0.169 0.166 0.6566297 1.9003637 9.804841
0.173 0.168 0.64705336 1.8907872 9.814418
0.174 0.171 0.6662061 1.8572699 9.790478
0.176 0.173 0.6542356 1.7974174 9.80963
0.179 0.175 0.6135359 1.7232004 9.831178
0.180 0.178 0.60395956 1.6298306 9.859906
0.184 0.180 0.6015655 1.5556135 9.845541
0.189 0.183 0.5848068 1.493367 9.828782
0.189 0.185 0.56086576 1.4622437 9.843147
